species,body_mass_kg,trophic_guild,probability_extinction
Muntiacus feae,22,herbivore,0.42
Aonyx congicus,21,insectivore,0.34
Hydrochoerus isthmius,21,herbivore,0.42
Pecari tajacu,21,herbivore,0.20
Mazama rufina,21,herbivore,0.48
Mazama pandora,21,herbivore,0.49
Gazella spekei,20,herbivore,0.72
Cephalophus dorsalis,20,herbivore,0.34
Castor canadensis,20,herbivore,0.21
Neofelis diardi,20,carnivore,0.47
Neofelis nebulosa,20,carnivore,0.47
Aonyx capensis,19,insectivore,0.39
Lynx lynx,19,carnivore,0.19
Cephalophus ogilbyi,19,herbivore,0.24
Cephalophus niger,19,herbivore,0.25
Cephalophus callipygus,19,herbivore,0.24
Tetracerus quadricornis,19,herbivore,0.52
Castor fiber,19,herbivore,0.19
Muntiacus atherodes,19,herbivore,0.36
Muntiacus puhoatensis,19,herbivore,0.43
Gazella bennettii,19,herbivore,0.23
Mazama temama,19,herbivore,0.40
Muntiacus crinifrons,19,herbivore,0.53
Muntiacus gongshanensis,19,herbivore,0.41
Mazama bororo,19,herbivore,0.48
Sylvicapra grimmia,19,herbivore,0.23
Mandrillus sphinx,18,herbivore,0.36
Papio papio,18,herbivore,0.25
Papio hamadryas,18,herbivore,0.15
Papio ursinus,18,herbivore,0.16
Papio anubis,18,omnivore,0.18
Muntiacus muntjak,18,herbivore,0.23
Muntiacus truongsonensis,17,herbivore,0.38
Ourebia ourebi,17,herbivore,0.23
Macropus bernardus,17,herbivore,0.34
Cephalophus weynsi,17,herbivore,0.23
Macropus rufogriseus,17,herbivore,0.22
Mazama gouazoubira,17,herbivore,0.23
Mazama nana,16,herbivore,0.49
Mazama bricenii,16,herbivore,0.47
Hystrix cristata,16,herbivore,0.21
Mazama chunyi,16,herbivore,0.52
Theropithecus gelada,16,herbivore,0.17
Papio cynocephalus,16,herbivore,0.15
Muntiacus putaoensis,16,herbivore,0.40
Cuon alpinus,16,carnivore,0.69
Cephalophus zebra,16,herbivore,0.53
Mandrillus leucophaeus,15,herbivore,0.51
Wallabia bicolor,15,herbivore,0.24
Hystrix africaeaustralis,15,herbivore,0.21
Hystrix indica,14,herbivore,0.22
Macropus agilis,14,herbivore,0.24
Cephalophus nigrifrons,14,herbivore,0.22
Caracal caracal,14,carnivore,0.23
Moschus fuscus,14,herbivore,0.70
Moschus chrysogaster,14,herbivore,0.68
Canis simensis,14,carnivore,0.72
Muntiacus reevesi,13,herbivore,0.21
Brachyteles hypoxanthus,13,herbivore,0.70
Rhinopithecus roxellana,13,herbivore,0.55
Dendrolagus ursinus,13,herbivore,0.48
Moschus moschiferus,13,herbivore,0.49
Oreotragus oreotragus,13,herbivore,0.21
Arctictis binturong,13,omnivore,0.45
Cephalophus leucogaster,13,herbivore,0.39
Moschus cupreus,13,herbivore,0.67
Moschus leucogaster,13,herbivore,0.66
Viverra civettina,13,carnivore,0.87
Gulo gulo,13,carnivore,0.21
Hydropotes inermis,13,herbivore,0.54
Semnopithecus ajax,13,herbivore,0.55
Semnopithecus hector,13,herbivore,0.29
Semnopithecus priam,13,herbivore,0.28
Semnopithecus entellus,13,herbivore,0.19
Semnopithecus dussumieri,13,herbivore,0.19
Semnopithecus schistaceus,13,herbivore,0.18
Macropus parryi,13,herbivore,0.23
Dendrolagus inustus,13,herbivore,0.49
Dinomys branickii,13,herbivore,0.23
Rhinopithecus brelichi,12,herbivore,0.54
Nasalis larvatus,12,herbivore,0.58
Cephalophus rufilatus,12,herbivore,0.24
Civettictis civetta,12,omnivore,0.20
Cephalophus natalensis,12,herbivore,0.24
Cephalophus harveyi,12,herbivore,0.23
Leptailurus serval,12,carnivore,0.20
Canis latrans,12,carnivore,0.21
Meles meles,12,omnivore,0.23
Meles leucurus,12,omnivore,0.22
Meles anakuma,12,insectivore,0.20
Leopardus pardalis,12,carnivore,0.20
Trachypithecus johnii,12,herbivore,0.39
Moschus berezovskii,12,herbivore,0.68
Catopuma temminckii,12,carnivore,0.34
Trachypithecus shortridgei,11,herbivore,0.50
Trachypithecus pileatus,11,herbivore,0.40
Raphicerus campestris,11,herbivore,0.24
Macropus dorsalis,11,herbivore,0.23
Lontra felina,11,insectivore,0.75
Rhinopithecus bieti,11,herbivore,0.53
Dorcatragus megalotis,11,herbivore,0.52
Macaca sylvanus,11,herbivore,0.56
Hyemoschus aquaticus,11,herbivore,0.23
Brachyteles arachnoides,11,herbivore,0.70
Symphalangus syndactylus,11,herbivore,0.45
Muntiacus rooseveltorum,11,herbivore,0.40
Caracal aurata,11,carnivore,0.48
Macaca thibetana,11,herbivore,0.27
Raphicerus melanotis,11,herbivore,0.24
Dendrolagus bennettianus,10,herbivore,0.35
Canis aureus,10,carnivore,0.22
Pygathrix nigripes,10,herbivore,0.55
Canis adustus,10,omnivore,0.25
Lynx pardinus,10,carnivore,0.73
Macaca fuscata,10,herbivore,0.16
Macaca tonkeana,10,herbivore,0.38
Semnopithecus hypoleucos,10,herbivore,0.41
Zaglossus bruijnii,10,insectivore,0.70
Ailurops ursinus,10,herbivore,0.48
Dendrolagus scottae,10,herbivore,0.87
Colobus guereza,10,herbivore,0.17
Pygathrix cinerea,10,herbivore,0.76
Trachypithecus auratus,10,herbivore,0.41
Dasypus kappleri,10,insectivore,0.22
Lynx canadensis,10,carnivore,0.20
Pudu puda,10,herbivore,0.37
Cercocebus chrysogaster,10,herbivore,0.32
Pudu mephistophiles,10,herbivore,0.45
Smutsia temminckii,10,insectivore,0.48
Dendrolagus dorianus,10,herbivore,0.48
Dendrolagus stellarum,10,herbivore,0.49
Cryptoprocta ferox,9,carnivore,0.44
Viverra zibetha,9,carnivore,0.21
Pygathrix nemaeus,9,herbivore,0.55
Raphicerus sharpei,9,herbivore,0.25
Dendrolagus mbaiso,9,herbivore,0.66
Macaca arctoides,9,herbivore,0.40
Viverra megaspila,9,carnivore,0.65
Cephalophus adersi,9,herbivore,0.54
Prionailurus viverrinus,9,carnivore,0.53
Rhinopithecus avunculus,9,herbivore,0.76
Ateles fusciceps,9,herbivore,0.71
Mellivora capensis,9,carnivore,0.19
Cuniculus taczanowskii,9,herbivore,0.35
Colobus angolensis,9,herbivore,0.17
Lutrogale perspicillata,9,carnivore,0.49
Lynx rufus,9,carnivore,0.18
Macaca assamensis,9,herbivore,0.26
Colobus polykomos,9,herbivore,0.37
Lutra lutra,9,carnivore,0.33
Colobus satanas,9,herbivore,0.39
Philantomba maxwellii,9,herbivore,0.23
Trachypithecus poliocephalus,9,herbivore,0.76
Trachypithecus delacouri,9,herbivore,0.76
Trachypithecus hatinhensis,9,herbivore,0.56
Trachypithecus laotum,9,herbivore,0.41
Trachypithecus barbei,9,herbivore,0.33
Ailurops melanotis,9,herbivore,0.88
Petrogale xanthopus,8,herbivore,0.37
Dendrolagus spadix,8,herbivore,0.48
Manis crassicaudata,8,insectivore,0.69
Atelocynus microtis,8,carnivore,0.39
Trachypithecus geei,8,herbivore,0.55
Canis mesomelas,8,carnivore,0.24
Indri indri,8,herbivore,0.77
Sarcophilus harrisii,8,carnivore,0.72
Cuniculus paca,8,herbivore,0.23
Arctonyx collaris,8,omnivore,0.51
Proteles cristata,8,insectivore,0.20
Lontra canadensis,8,carnivore,0.20
Dendrolagus pulcherrimus,8,herbivore,0.85
Porcula salvania,8,herbivore,0.72
Marmota sibirica,8,herbivore,0.67
Cercocebus sanjei,8,herbivore,0.52
Dolichotis patagonum,8,herbivore,0.39
Macropus irma,8,herbivore,0.24
Hystrix brachyura,8,herbivore,0.22
Erythrocebus patas,8,herbivore,0.19
Dendrolagus goodfellowi,8,herbivore,0.64
Ateles paniscus,8,herbivore,0.35
Taxidea taxus,8,carnivore,0.20
Cercocebus agilis,8,herbivore,0.17
Cercocebus torquatus,8,herbivore,0.49
Colobus vellerosus,8,herbivore,0.70
Trachypithecus phayrei,8,herbivore,0.55
Macaca nigrescens,8,herbivore,0.38
Trachypithecus francoisi,8,herbivore,0.57
Macaca nemestrina,8,herbivore,0.39
Macaca leonina,8,herbivore,0.37
Moschus anhuiensis,8,herbivore,0.67
Lontra provocax,7,omnivore,0.66
Lophocebus albigena,7,herbivore,0.39
Simias concolor,7,herbivore,0.77
Felis chaus,7,carnivore,0.23
Macaca hecki,7,herbivore,0.37
Macaca nigra,7,herbivore,0.75
Viverra tangalunga,7,carnivore,0.23
Nomascus hainanus,7,herbivore,0.64
Nomascus leucogenys,7,herbivore,0.63
Macaca maura,7,herbivore,0.52
Ateles geoffroyi,7,herbivore,0.49
Erethizon dorsatum,7,herbivore,0.20
Trachypithecus vetulus,7,herbivore,0.57
