species,body_mass_kg,trophic_guild,probability_extinction
Heteromys gaumeri,0,herbivore,0.24
Aegialomys galapagoensis,0,herbivore,0.54
Oxymycterus josei,0,insectivore,0.39
Pseudomys higginsi,0,herbivore,0.27
Rousettus celebensis,0,herbivore,0.25
Microtus fortis,0,herbivore,0.25
Marmosa rubra,0,omnivore,0.44
Abrawayaomys ruschii,0,herbivore,0.26
Lophuromys sikapusi,0,insectivore,0.26
Amblysomus hottentotus,0,insectivore,0.26
Acomys minous,0,herbivore,0.44
Oecomys mamorae,0,herbivore,0.26
Colomys goslingi,0,insectivore,0.25
Euryoryzomys macconnelli,0,herbivore,0.26
Scapanus orarius,0,insectivore,0.26
Meriones meridianus,0,herbivore,0.26
Microtus abbreviatus,0,herbivore,0.26
Eropeplus canus,0,herbivore,0.54
Oxymycterus caparoae,0,insectivore,0.27
Oxymycterus amazonicus,0,insectivore,0.26
Thamnomys venustus,0,herbivore,0.26
Allactaga vinogradovi,0,herbivore,0.40
Euryoryzomys legatus,0,herbivore,0.26
Tapecomys primus,0,herbivore,0.26
Thomasomys caudivarius,0,herbivore,0.26
Eliurus webbi,0,herbivore,0.26
Artibeus amplus,0,herbivore,0.23
Scapanus latimanus,0,insectivore,0.26
Dicrostonyx vinogradovi,0,herbivore,0.45
Golunda ellioti,0,herbivore,0.26
Oxymycterus quaestor,0,insectivore,0.26
Marmosa robinsoni,0,omnivore,0.26
Oryzomys gorgasi,0,herbivore,0.75
Mindomys hammondi,0,herbivore,0.74
Euryoryzomys lamia,0,herbivore,0.54
Eremoryzomys polius,0,herbivore,0.44
Oreoryzomys balneator,0,herbivore,0.44
Nephelomys albigularis,0,herbivore,0.27
Hylaeamys yunganus,0,herbivore,0.26
Handleyomys intectus,0,herbivore,0.26
Euryoryzomys russatus,0,herbivore,0.26
Nephelomys levipes,0,herbivore,0.26
Nephelomys caracolus,0,herbivore,0.25
Nephelomys auriventer,0,herbivore,0.25
Tamiops rodolphii,0,herbivore,0.25
Euroscaptor micrura,0,insectivore,0.26
Euroscaptor klossi,0,insectivore,0.26
Dipodomys agilis,0,herbivore,0.26
Taterillus pygargus,0,omnivore,0.26
Galemys pyrenaicus,0,insectivore,0.54
Melomys rufescens,0,herbivore,0.26
Hybomys trivirgatus,0,herbivore,0.26
Ellobius tancrei,0,herbivore,0.26
Transandinomys bolivaris,0,herbivore,0.26
Peromyscus mekisturus,0,omnivore,0.93
Dendrogale melanura,0,insectivore,0.43
Pelomys isseli,0,herbivore,0.40
Akodon aerosus,0,insectivore,0.26
Marmosops incanus,0,omnivore,0.26
Cremnomys cutchicus,0,herbivore,0.26
Dicrostonyx unalascensis,0,herbivore,0.45
Euroscaptor parvidens,0,insectivore,0.44
Euroscaptor longirostris,0,insectivore,0.26
Elephantulus myurus,0,insectivore,0.27
Lemmus portenkoi,0,herbivore,0.45
Galenomys garleppi,0,herbivore,0.45
Artibeus lituratus,0,herbivore,0.23
Hadromys humei,0,herbivore,0.75
Peromyscus melanocarpus,0,omnivore,0.75
Hadromys yunnanensis,0,herbivore,0.44
Allactaga elater,0,herbivore,0.26
Blanfordimys bucharensis,0,herbivore,0.25
Blanfordimys afghanus,0,herbivore,0.25
Antechinus swainsonii,0,insectivore,0.26
Eumops underwoodi,0,insectivore,0.23
Microcebus ravelobensis,0,herbivore,0.69
Hylomys megalotis,0,insectivore,0.43
Stylodipus sungorus,0,herbivore,0.25
Dicrostonyx nelsoni,0,herbivore,0.26
Dicrostonyx nunatakensis,0,herbivore,0.26
Dicrostonyx groenlandicus,0,herbivore,0.26
Myomyscus angolensis,0,herbivore,0.26
Cynopterus titthaecheilus,0,herbivore,0.25
Nephelomys keaysi,0,herbivore,0.26
Eonycteris spelaea,0,herbivore,0.26
Euryoryzomys emmonsae,0,herbivore,0.44
Nephelomys devius,0,herbivore,0.26
Nephelomys meridensis,0,herbivore,0.26
Hylomys parvus,0,insectivore,0.54
Hylomys suillus,0,insectivore,0.25
Meriones unguiculatus,0,herbivore,0.26
Deomys ferrugineus,0,insectivore,0.26
Eliurus minor,0,herbivore,0.26
Rhipidomys latimanus,0,herbivore,0.27
Stylodipus andrewsi,0,herbivore,0.26
Stylodipus telum,0,herbivore,0.25
Neamblysomus gunningi,0,insectivore,0.73
Microtus californicus,0,herbivore,0.26
Jaculus jaculus,0,herbivore,0.26
Lophuromys flavopunctatus,0,insectivore,0.27
Elephantulus fuscipes,0,insectivore,0.45
Dicrostonyx hudsonius,0,herbivore,0.26
Hylopetes platyurus,0,herbivore,0.42
Nyctimene sanctacrucis,0,herbivore,0.41
Sekeetamys calurus,0,herbivore,0.25
Vandeleuria nolthenii,0,herbivore,0.75
Rattus arrogans,0,herbivore,0.26
Mastomys erythroleucus,0,herbivore,0.27
Lophuromys brevicaudus,0,insectivore,0.39
Lophuromys chrysopus,0,insectivore,0.25
Cynopterus horsfieldii,0,herbivore,0.25
Dinaromys bogdanovi,0,herbivore,0.55
Lemniscomys griselda,0,herbivore,0.27
Phylloderma stenops,0,herbivore,0.22
Sigmodon alstoni,0,omnivore,0.26
Grammomys dryas,0,herbivore,0.27
Thomasomys ucucha,0,herbivore,0.54
Grammomys gigas,0,herbivore,0.74
Hylaeamys tatei,0,herbivore,0.44
Zelotomys hildegardeae,0,insectivore,0.27
Euryoryzomys nitidus,0,herbivore,0.26
Dipodomys microps,0,herbivore,0.26
Sminthopsis douglasi,0,insectivore,0.39
Dicrostonyx richardsoni,0,herbivore,0.27
Hylaeamys megacephalus,0,herbivore,0.26
Notoryctes typhlops,0,insectivore,0.26
Transandinomys talamancae,0,herbivore,0.26
Paraleptomys rufilatus,0,herbivore,0.75
Macrotarsomys ingens,0,herbivore,0.75
Chimarrogale hantu,0,insectivore,0.40
Abeomelomys sevia,0,herbivore,0.26
Volemys millicens,0,herbivore,0.39
Desmodillus auricularis,0,herbivore,0.26
Rattus pococki,0,herbivore,0.26
Jaculus blanfordi,0,herbivore,0.26
Maxomys whiteheadi,0,herbivore,0.54
Lophuromys eisentrauti,0,insectivore,0.93
Hybomys basilii,0,herbivore,0.74
Microakodontomys transitorius,0,herbivore,0.75
Lophuromys cinereus,0,insectivore,0.45
Zelotomys woosnami,0,insectivore,0.26
Thomasomys niveipes,0,herbivore,0.26
Microtus breweri,0,herbivore,0.54
Mastomys coucha,0,herbivore,0.26
Lemmus sibiricus,0,herbivore,0.26
Mastomys huberti,0,herbivore,0.26
Murexia rothschildi,0,insectivore,0.39
Niviventer eha,0,herbivore,0.27
Lenoxus apicalis,0,herbivore,0.26
Melanomys zunigae,0,herbivore,0.93
Melanomys robustulus,0,herbivore,0.26
Talpa occidentalis,0,insectivore,0.25
Oecomys concolor,0,herbivore,0.25
Taterillus tranieri,0,omnivore,0.26
Saccolaimus peli,0,insectivore,0.24
Nyctomys sumichrasti,0,herbivore,0.26
Myonycteris relicta,0,herbivore,0.25
Oryzomys palustris,0,herbivore,0.26
Euroscaptor grandis,0,insectivore,0.26
Antechinus subtropicus,0,insectivore,0.25
Hybomys badius,0,herbivore,0.75
Hybomys lunaris,0,herbivore,0.54
Hybomys univittatus,0,herbivore,0.26
Phyllotis andium,0,herbivore,0.26
Praomys misonnei,0,herbivore,0.26
Elephantulus rufescens,0,insectivore,0.26
Murexia naso,0,insectivore,0.26
Amblysomus marleyi,0,insectivore,0.72
Amblysomus corriae,0,insectivore,0.38
Amblysomus septentrionalis,0,insectivore,0.37
Hyperacrius wynnei,0,herbivore,0.26
Antechinus minimus,0,insectivore,0.26
Glyphotes simus,0,herbivore,0.43
Microtus cabrerae,0,herbivore,0.40
Phyllotis xanthopygus,0,herbivore,0.26
Carpitalpa arendsi,0,insectivore,0.53
Monodelphis emiliae,0,omnivore,0.26
Nyctimene masalai,0,herbivore,0.41
Pygeretmus pumilio,0,herbivore,0.26
Zygodontomys brevicauda,0,herbivore,0.26
Gerbillus perpallidus,0,herbivore,0.26
Neohylomys hainanensis,0,insectivore,0.73
Microtus townsendii,0,herbivore,0.26
Pseudomys nanus,0,herbivore,0.26
Condylura cristata,0,insectivore,0.26
Distoechurus pennatus,0,herbivore,0.25
Megadendromus nikolausi,0,herbivore,0.55
Allactaga tetradactyla,0,herbivore,0.44
Notomys mitchellii,0,herbivore,0.27
Taterillus emini,0,omnivore,0.26
Taterillus congicus,0,omnivore,0.26
Taterillus lacustris,0,omnivore,0.26
Huetia leucorhina,0,insectivore,0.43
Nyctimene keasti,0,herbivore,0.52
Volemys musseri,0,herbivore,0.45
Elephantulus fuscus,0,insectivore,0.43
Saccostomus campestris,0,herbivore,0.26
Akodon toba,0,insectivore,0.26
Eumops perotis,0,insectivore,0.22
Proedromys bedfordi,0,herbivore,0.55
Eremodipus lichtensteini,0,herbivore,0.26
Parascalops breweri,0,insectivore,0.26
Hylaeamys perenensis,0,herbivore,0.26
Phyllotis darwini,0,herbivore,0.26
Chelemys megalonyx,0,herbivore,0.40
Taterillus petteri,0,omnivore,0.26
Phyllotis caprinus,0,herbivore,0.25
Platyrrhinus infuscus,0,herbivore,0.23
Paraxerus alexandri,0,herbivore,0.26
Tarsius pumilus,0,insectivore,0.42
Rattus exulans,0,herbivore,0.26
Lemniscomys rosalia,0,herbivore,0.26
Akodon dolores,0,insectivore,0.26
Pogonomys championi,0,herbivore,0.44
Stenocephalemys albipes,0,insectivore,0.26
Dipodomys ordii,0,herbivore,0.26
Lophuromys medicaudatus,0,insectivore,0.54
Grammomys kuru,0,herbivore,0.26
Sigmodontomys alfari,0,herbivore,0.25
Nannosciurus melanotis,0,herbivore,0.25
Handleyomys chapmani,0,herbivore,0.54
Chibchanomys orcesi,0,herbivore,0.44
Alticola strelzowi,0,herbivore,0.26
Handleyomys melanotis,0,herbivore,0.26
Pelomys minor,0,herbivore,0.25
Latidens salimalii,0,herbivore,0.72
Chibchanomys trichotis,0,herbivore,0.45
Ammodillus imbellis,0,herbivore,0.43
Osgoodomys banderanus,0,herbivore,0.26
Neotetracus sinensis,0,insectivore,0.26
Microtus guentheri,0,herbivore,0.26
Dendrogale murina,0,insectivore,0.25
Hipposideros armiger,0,insectivore,0.22
Cerradomys subflavus,0,herbivore,0.27
Cerradomys maracajuensis,0,herbivore,0.26
Cerradomys marinhus,0,herbivore,0.26
Cerradomys scotti,0,herbivore,0.26
Taterillus gracilis,0,omnivore,0.26
Gerbillus pulvinatus,0,herbivore,0.26
Gerbillus hoogstraali,0,herbivore,0.54
Acomys russatus,0,omnivore,0.26
Elephantulus edwardii,0,insectivore,0.26
Sturnira aratathomasi,0,herbivore,0.22
Hybomys planifrons,0,herbivore,0.26
Scleronycteris ega,0,herbivore,0.39
Handleyomys fuscatus,0,herbivore,0.26
Marmosa mexicana,0,omnivore,0.26
Epomophorus grandis,0,herbivore,0.43
Calomys venustus,0,herbivore,0.26
Ia io,0,insectivore,0.22
Dipodomys compactus,0,herbivore,0.26
Gerbilliscus boehmi,0,herbivore,0.26
Myonycteris brachycephala,0,herbivore,0.73
Hylaeamys laticeps,0,herbivore,0.55
Gerbillus dunni,0,herbivore,0.26
Microcebus sambiranensis,0,herbivore,0.70
Melonycteris melanops,0,herbivore,0.24
Stenocephalemys ruppi,0,insectivore,0.45
Auliscomys pictus,0,omnivore,0.26
Elephantulus intufi,0,insectivore,0.26
Gerbillus rosalinda,0,herbivore,0.27
Nyctimene robinsoni,0,herbivore,0.24
Crunomys celebensis,0,herbivore,0.45
Habromys delicatulus,0,omnivore,0.75
Microcebus rufus,0,herbivore,0.50
Habromys ixtlani,0,omnivore,0.93
Phyllotis limatus,0,herbivore,0.27
Melasmothrix naso,0,insectivore,0.44
Nyctimene cyclotis,0,herbivore,0.41
Elephantulus rozeti,0,insectivore,0.26
Microtus socialis,0,herbivore,0.26
Allocricetulus curtatus,0,herbivore,0.26
Caenolestes condorensis,0,insectivore,0.52
Melomys fraterculus,0,herbivore,0.75
Chrysochloris stuhlmanni,0,insectivore,0.26
Tlacuatzin canescens,0,omnivore,0.26
Pachyuromys duprasi,0,insectivore,0.27
Microtus gregalis,0,herbivore,0.25
Marmosa andersoni,0,omnivore,0.45
Glirulus japonicus,0,omnivore,0.26
Chiruromys lamia,0,herbivore,0.27
Necromys temchuki,0,insectivore,0.26
Microtus clarkei,0,herbivore,0.25
Paramelomys rubex,0,herbivore,0.26
Neusticomys venezuelae,0,insectivore,0.54
Grammomys caniceps,0,herbivore,0.44
Ptenochirus minor,0,herbivore,0.25
Neusticomys oyapocki,0,insectivore,0.45
Taterillus arenarius,0,omnivore,0.25
Pogonomys macrourus,0,herbivore,0.26
Murexia habbema,0,insectivore,0.26
Hipposideros diadema,0,insectivore,0.22
Lasiopodomys mandarinus,0,herbivore,0.26
Wilfredomys oenax,0,herbivore,0.75
Grammomys aridulus,0,herbivore,0.44
Grammomys buntingi,0,herbivore,0.44
Wiedomys pyrrhorhinos,0,omnivore,0.26
Petromyscus shortridgei,0,omnivore,0.27
Mastomys shortridgei,0,herbivore,0.26
Microtus kikuchii,0,herbivore,0.25
Phaiomys leucurus,0,herbivore,0.25
Microtus paradoxus,0,herbivore,0.26
Microtus schidlovskii,0,herbivore,0.26
Lemmus amurensis,0,herbivore,0.26
Eothenomys miletus,0,herbivore,0.25
Cansumys canus,0,herbivore,0.25
Marmosa xerophila,0,omnivore,0.54
Oryzomys dimidiatus,0,herbivore,0.44
Graphiurus platyops,0,omnivore,0.26
Microgale talazaci,0,insectivore,0.26
Nyctalus lasiopterus,0,insectivore,0.51
Suncus murinus,0,insectivore,0.26
Parascaptor leucura,0,insectivore,0.26
Nyctimene minutus,0,herbivore,0.52
Brachyphylla cavernarum,0,herbivore,0.23
Chiruromys vates,0,herbivore,0.26
Neodon forresti,0,herbivore,0.43
Microtus irani,0,herbivore,0.54
Lophuromys dieterleni,0,insectivore,0.76
Lophuromys roseveari,0,insectivore,0.26
Lophuromys huttereri,0,insectivore,0.25
Rousettus obliviosus,0,herbivore,0.53
Eothenomys chinensis,0,herbivore,0.25
Saccolaimus flaviventris,0,insectivore,0.24
Xeromys myoides,0,omnivore,0.53
Pseudoryzomys simplex,0,herbivore,0.26
Acomys mullah,0,herbivore,0.26
Acomys cahirinus,0,herbivore,0.26
Acomys dimidiatus,0,herbivore,0.25
Marmosops fuscatus,0,omnivore,0.44
Elephantulus brachyrhynchus,0,insectivore,0.26
Phyllotis osgoodi,0,herbivore,0.45
Rattus niobe,0,herbivore,0.26
Pseudomys fieldi,0,herbivore,0.54
Grammomys cometes,0,herbivore,0.27
Calomys callosus,0,herbivore,0.25
Nyctimene cephalotes,0,herbivore,0.24
Necromys urichi,0,insectivore,0.27
Apodemus hyrcanicus,0,herbivore,0.40
Microtus longicaudus,0,herbivore,0.26
Hipposideros lankadiva,0,insectivore,0.23
Steatomys caurinus,0,herbivore,0.26
Antechinus flavipes,0,insectivore,0.27
Neotomodon alstoni,0,omnivore,0.26
Monodelphis dimidiata,0,omnivore,0.26
Lemniscomys linulus,0,herbivore,0.25
Burramys parvus,0,herbivore,0.91
Neodon irene,0,herbivore,0.27
Brachiones przewalskii,0,herbivore,0.26
Noctilio leporinus,0,omnivore,0.21
Apodemus mystacinus,0,herbivore,0.26
Apodemus speciosus,0,herbivore,0.26
Gerbillus maghrebi,0,herbivore,0.27
Gerbillus harwoodi,0,herbivore,0.27
Cynopterus sphinx,0,herbivore,0.25
Phyllotis osilae,0,herbivore,0.26
Artibeus jamaicensis,0,herbivore,0.25
Acomys johannis,0,herbivore,0.26
Peromyscus californicus,0,omnivore,0.26
Handleyomys rostratus,0,herbivore,0.25
Crunomys suncoides,0,herbivore,0.44
Nyctimene certans,0,herbivore,0.24
Irenomys tarsalis,0,herbivore,0.25
Dephomys defua,0,herbivore,0.26
Phascogale calura,0,carnivore,0.40
Brucepattersonius misionensis,0,insectivore,0.44
Brucepattersonius iheringi,0,insectivore,0.26
Saccolaimus saccolaimus,0,insectivore,0.25
Neodon sikimensis,0,herbivore,0.26
Leptomys ernstmayri,0,omnivore,0.26
Mops congicus,0,insectivore,0.22
Mus fernandoni,0,herbivore,0.75
Gerbillus pyramidum,0,herbivore,0.26
Neodon juldaschi,0,herbivore,0.26
Peromyscus mexicanus,0,omnivore,0.26
Eothenomys proditor,0,herbivore,0.45
Phyllotis bonariensis,0,herbivore,0.39
Microtus ochrogaster,0,herbivore,0.27
Akodon simulator,0,insectivore,0.27
Crunomys melanius,0,herbivore,0.26
Lasiopodomys fuscus,0,herbivore,0.26
Phyllotis wolffsohni,0,herbivore,0.26
Phyllotis haggardi,0,herbivore,0.26
Ptilocercus lowii,0,omnivore,0.25
Lemniscomys striatus,0,herbivore,0.26
Apodemus epimelas,0,herbivore,0.26
Petinomys setosus,0,herbivore,0.52
Myonycteris torquata,0,herbivore,0.25
Melonycteris fardoulisi,0,herbivore,0.24
Praomys lukolelae,0,omnivore,0.26
Microtus sachalinensis,0,herbivore,0.26
Artibeus planirostris,0,herbivore,0.23
Praomys mutoni,0,herbivore,0.39
Lophuromys woosnami,0,insectivore,0.26
Chionomys nivalis,0,herbivore,0.26
Microtus umbrosus,0,herbivore,0.75
Microtus guatemalensis,0,herbivore,0.39
Oxymycterus paramensis,0,insectivore,0.25
Myotis chinensis,0,insectivore,0.20
Cricetulus alticola,0,herbivore,0.27
Grammomys dolichurus,0,herbivore,0.26
Lemniscomys mittendorfi,0,herbivore,0.26
Mastomys natalensis,0,insectivore,0.25
Praomys minor,0,herbivore,0.26
Praomys rostratus,0,herbivore,0.26
Pogonomys sylvestris,0,herbivore,0.26
Handleyomys rhabdops,0,herbivore,0.75
Handleyomys saturatior,0,herbivore,0.39
Dipodomys nitratoides,0,herbivore,0.55
Rhipidomys macconnelli,0,herbivore,0.26
Grammomys ibeanus,0,herbivore,0.26
Rhabdomys pumilio,0,herbivore,0.27
Microtus miurus,0,herbivore,0.26
Melanomys caliginosus,0,herbivore,0.26
Myomyscus verreauxii,0,insectivore,0.25
Dipodomys phillipsii,0,herbivore,0.25
Lemniscomys hoogstraali,0,herbivore,0.44
Lemniscomys roseveari,0,herbivore,0.45
Myomimus setzeri,0,herbivore,0.44
Oecomys bicolor,0,herbivore,0.26
Necromys obscurus,0,insectivore,0.26
Pseudantechinus woolleyae,0,insectivore,0.27
Microtus limnophilus,0,herbivore,0.26
Eothenomys wardi,0,herbivore,0.39
Marmosops impavidus,0,omnivore,0.26
Myomimus roachi,0,herbivore,0.54
Uranomys ruddi,0,insectivore,0.26
Phyllostomus elongatus,0,insectivore,0.22
Zyzomys argurus,0,herbivore,0.26
Artibeus hirsutus,0,herbivore,0.24
Graomys edithae,0,herbivore,0.45
Microtus mujanensis,0,herbivore,0.44
Microtus evoronensis,0,herbivore,0.44
Cynopterus luzoniensis,0,herbivore,0.26
Lasiopodomys brandtii,0,herbivore,0.27
Cynopterus nusatenggara,0,herbivore,0.26
Habromys simulatus,0,omnivore,0.93
Peromyscus bullatus,0,omnivore,0.93
Habromys chinanteco,0,omnivore,0.93
Peromyscus melanurus,0,omnivore,0.75
Rheomys mexicanus,0,insectivore,0.75
Peromyscus ochraventer,0,omnivore,0.75
Peromyscus winkelmanni,0,omnivore,0.74
Neusticomys mussoi,0,insectivore,0.55
Peromyscus simulus,0,omnivore,0.55
Peromyscus zarhynchus,0,omnivore,0.54
Microgale dryas,0,insectivore,0.54
Akodon varius,0,insectivore,0.44
Microtus quasiater,0,herbivore,0.40
Habromys lophurus,0,omnivore,0.40
Rheomys thomasi,0,insectivore,0.39
Peromyscus polius,0,omnivore,0.39
Caenolestes caniventer,0,insectivore,0.38
Neusticomys peruviensis,0,insectivore,0.27
Peromyscus guatemalensis,0,omnivore,0.26
Peromyscus merriami,0,omnivore,0.26
Peromyscus perfulvus,0,omnivore,0.26
Steatomys opimus,0,herbivore,0.26
Peromyscus melanophrys,0,omnivore,0.26
Ellobius talpinus,0,herbivore,0.26
Peromyscus gymnotis,0,omnivore,0.26
Microtus tatricus,0,herbivore,0.26
Nyctimene vizcaccia,0,herbivore,0.24
Hipposideros lylei,0,insectivore,0.23
Necromys lenguarum,0,insectivore,0.26
Necromys lasiurus,0,insectivore,0.26
Alticola barakshin,0,herbivore,0.25
Alticola lemminus,0,herbivore,0.26
Gerbillus hesperinus,0,herbivore,0.75
Apodemus gurkha,0,herbivore,0.26
Gerbillus floweri,0,herbivore,0.26
Gerbillus tarabuli,0,herbivore,0.26
Calomys expulsus,0,herbivore,0.27
Akodon cursor,0,insectivore,0.26
Microtus maximowiczii,0,herbivore,0.25
Alticola tuvinicus,0,herbivore,0.25
Syconycteris carolinae,0,herbivore,0.52
Peromyscus melanotis,0,omnivore,0.26
Gerbillus latastei,0,herbivore,0.45
Lemniscomys bellieri,0,herbivore,0.26
Neusticomys monticolus,0,insectivore,0.26
Praomys degraaffi,0,herbivore,0.54
Praomys verschureni,0,omnivore,0.44
Praomys petteri,0,herbivore,0.26
Heterocephalus glaber,0,herbivore,0.26
Rheomys underwoodi,0,insectivore,0.26
Megaderma lyra,0,carnivore,0.23
Praomys jacksoni,0,herbivore,0.27
Notomys aquilo,0,herbivore,0.75
Microtus chrotorrhinus,0,herbivore,0.26
Akodon surdus,0,insectivore,0.54
Akodon sylvanus,0,insectivore,0.26
Akodon torques,0,insectivore,0.26
Akodon orophilus,0,insectivore,0.26
Peromyscus pectoralis,0,omnivore,0.26
Akodon juninensis,0,insectivore,0.26
Calcochloris tytonis,0,insectivore,0.43
Marmosops paulensis,0,omnivore,0.26
Praomys obscurus,0,herbivore,0.75
Praomys hartwigi,0,herbivore,0.54
Abrothrix longipilis,0,herbivore,0.26
Nectogale elegans,0,carnivore,0.26
Antechinus bellus,0,insectivore,0.54
Acomys seurati,0,herbivore,0.26
Acomys airensis,0,herbivore,0.26
Macroscelides proboscideus,0,insectivore,0.26
Macroscelides flavicaudatus,0,insectivore,0.25
Microtus anatolicus,0,herbivore,0.44
Microtus qazvinensis,0,herbivore,0.26
Microtus dogramacii,0,herbivore,0.26
Microtus pennsylvanicus,0,herbivore,0.25
Eumops trumbulli,0,insectivore,0.23
Alticola albicaudus,0,herbivore,0.45
Acomys cilicicus,0,herbivore,0.44
Gerbillurus setzeri,0,herbivore,0.26
Chlorotalpa sclateri,0,insectivore,0.25
Saccolaimus mixtus,0,insectivore,0.38
Gerbillus occiduus,0,herbivore,0.45
Gerbillus principulus,0,herbivore,0.44
Murexia melanurus,0,insectivore,0.26
Gerbillus nancillus,0,herbivore,0.44
Lophuromys rahmi,0,insectivore,0.39
Rheomys raptor,0,insectivore,0.26
Auliscomys sublimis,0,omnivore,0.26
Dipodomys merriami,0,herbivore,0.25
Apomys gracilirostris,0,herbivore,0.26
Microgale dobsoni,0,insectivore,0.27
Alticola olchonensis,0,herbivore,0.75
Alticola argentatus,0,herbivore,0.26
Gerbillus bottai,0,herbivore,0.45
Petinomys vordermanni,0,herbivore,0.53
Brucepattersonius igniventris,0,insectivore,0.44
Crunomys fallax,0,herbivore,0.43
Myomimus personatus,0,herbivore,0.44
Gerbillus lowei,0,herbivore,0.44
Necromys punctulatus,0,insectivore,0.45
Brachyphylla nana,0,herbivore,0.23
Chrysochloris asiatica,0,insectivore,0.25
Eolagurus przewalskii,0,herbivore,0.27
Notomys fuscus,0,herbivore,0.54
Microtus transcaspicus,0,herbivore,0.26
Grammomys macmillani,0,herbivore,0.25
Platyrrhinus vittatus,0,herbivore,0.23
Aepeomys reigi,0,herbivore,0.55
Alticola roylei,0,herbivore,0.40
Aepeomys lugens,0,herbivore,0.27
Gerbillus famulus,0,herbivore,0.25
Marmosops noctivagus,0,omnivore,0.25
Gerbillus acticola,0,herbivore,0.44
Myotis auriculus,0,insectivore,0.23
Praomys tullbergi,0,herbivore,0.26
Sciurillus pusillus,0,herbivore,0.25
Brucepattersonius paradisus,0,insectivore,0.45
Brucepattersonius guarani,0,insectivore,0.45
Brucepattersonius soricinus,0,insectivore,0.44
Trachops cirrhosus,0,omnivore,0.23
Pseudantechinus macdonnellensis,0,insectivore,0.27
Taphozous theobaldi,0,insectivore,0.26
Blarinomys breviceps,0,herbivore,0.27
Gerbillus brockmani,0,herbivore,0.45
Gerbillus muriculus,0,herbivore,0.43
Oxymycterus hispidus,0,insectivore,0.26
Phyllostomus discolor,0,herbivore,0.23
Mus mattheyi,0,herbivore,0.26
Microtus ilaeus,0,herbivore,0.26
Acomys nesiotes,0,herbivore,0.44
Scapanulus oweni,0,insectivore,0.26
Diaemus youngi,0,carnivore,0.22
Microtus oaxacensis,0,herbivore,0.75
Microtus middendorffii,0,herbivore,0.26
Mus callewaerti,0,herbivore,0.44
Typhlomys cinereus,0,herbivore,0.26
Myodes rufocanus,0,herbivore,0.26
Pygeretmus zhitkovi,0,herbivore,0.39
Eumops floridanus,0,insectivore,0.47
Crocidura olivieri,0,omnivore,0.25
Microtus montanus,0,herbivore,0.26
Microtus schelkovnikovi,0,herbivore,0.26
Chimarrogale platycephalus,0,insectivore,0.26
Marmosa murina,0,omnivore,0.26
Otonyctomys hatti,0,herbivore,0.25
Melonycteris woodfordi,0,herbivore,0.24
Eumops glaucinus,0,insectivore,0.22
Scotophilus heathii,0,insectivore,0.23
Voalavo gymnocaudus,0,herbivore,0.26
Gerbillus aquilus,0,herbivore,0.26
Gerbillus somalicus,0,herbivore,0.45
Alticola montosa,0,herbivore,0.55
Alticola semicanus,0,herbivore,0.26
Praomys delectorum,0,herbivore,0.26
Alticola macrotis,0,herbivore,0.25
Artibeus fraterculus,0,herbivore,0.24
Peromyscus hooperi,0,omnivore,0.26
Feroculus feroculus,0,insectivore,0.75
Grammomys minnae,0,herbivore,0.54
Oryzorictes tetradactylus,0,insectivore,0.45
Hylomyscus denniae,0,herbivore,0.27
Peromyscus spicilegus,0,omnivore,0.26
Gerbillus stigmonyx,0,herbivore,0.45
Artibeus obscurus,0,herbivore,0.24
Vampyrodes caraccioli,0,herbivore,0.22
Microtus agrestis,0,herbivore,0.26
Caenolestes convelatus,0,insectivore,0.53
Thomasomys laniger,0,herbivore,0.27
Oryzorictes hova,0,insectivore,0.25
Chaetodipus hispidus,0,herbivore,0.26
Caryomys inez,0,herbivore,0.26
Microtus levis,0,herbivore,0.26
Chiroderma improvisum,0,herbivore,0.68
Cynomops abrasus,0,insectivore,0.39
Penthetor lucasi,0,herbivore,0.24
Soricomys musseri,0,insectivore,0.26
Archboldomys luzonensis,0,insectivore,0.54
Gerbillus grobbeni,0,herbivore,0.45
Gerbillurus vallinus,0,herbivore,0.27
Sminthopsis virginiae,0,insectivore,0.26
Apodemus latronum,0,herbivore,0.26
Myodes andersoni,0,herbivore,0.26
Platyrrhinus aurarius,0,herbivore,0.24
Caryomys eva,0,herbivore,0.26
Monodelphis adusta,0,omnivore,0.26
Marmosops neblina,0,omnivore,0.25
Mops midas,0,insectivore,0.23
Oxymycterus inca,0,insectivore,0.26
Praomys daltoni,0,insectivore,0.26
Apomys microdon,0,herbivore,0.26
Myodes smithii,0,herbivore,0.25
Otomops wroughtoni,0,insectivore,0.41
Otomops martiensseni,0,insectivore,0.35
Otomops madagascariensis,0,insectivore,0.23
Apomys sacobianus,0,herbivore,0.26
Apomys datae,0,herbivore,0.26
Microtus mexicanus,0,herbivore,0.26
Apomys insignis,0,herbivore,0.26
Apomys hylocetes,0,herbivore,0.26
Apomys abrae,0,herbivore,0.25
Eothenomys cachinus,0,herbivore,0.26
Notomys cervinus,0,herbivore,0.39
Akodon montensis,0,insectivore,0.26
Akodon siberiae,0,insectivore,0.40
Mus shortridgei,0,herbivore,0.25
Oligoryzomys eliurus,0,herbivore,0.25
Sicista kluchorica,0,herbivore,0.24
Myomyscus brockmani,0,insectivore,0.27
Abrothrix jelskii,0,herbivore,0.26
Necromys benefactus,0,insectivore,0.26
Thylamys macrurus,0,insectivore,0.39
