"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"Lagomorpha","Sylvilagus nuttallii",6.62683959613003,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Lagomorpha","Sylvilagus palustris",7.31321772042008,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Lagomorpha","Sylvilagus transitionalis",6.48723490699465,"herbivore",2.58,0,"Pleistocene","Holocene","mom"
"Lagomorpha","Tachylagus gawneae",5.137,"herbivore",42.3,42.3,"Eocene","Eocene","lyons"
"Leptictida","Gypsonictops illuminatus",4.565,"omnivore",68.9,65.55,"Late Cretaceous","Paleocene","lyons"
"Leptictida","Gypsonictops lewisi",3.949,"omnivore",78.7,69.325,"Late Cretaceous","Late Cretaceous","lyons"
"Leptictida","Leptictis dakotensis",6.467961526,"omnivore",37.2,30.8,"Eocene","Oligocene","supp, supp"
"Leptictida","Leptictis douglassi",7.058,"omnivore",37.2,37.2,"Eocene","Eocene","lyons"
"Leptictida","Myrmecoboides montanensis",4.15,"omnivore",60.95,60.35,"Paleocene","Paleocene","lyons"
"Leptictida","Palaeictops bicuspis",6.346560649,"omnivore",55.65,52,"Eocene","Eocene","lyons"
"Leptictida","Palaeictops bridgeri",5.424,"omnivore",51.9,48.75,"Eocene","Eocene","lyons"
"Leptictida","Palaeictops multicuspis",5.491,"omnivore",52.8,50.9375,"Eocene","Eocene","lyons"
"Leptictida","Prodiacodon concordiarcensis",4.109,"omnivore",60.95,57.7,"Paleocene","Paleocene","lyons"
"Leptictida","Prodiacodon furor",4.202217795,"omnivore",63.3,56.8,"Paleocene","Paleocene","supp, supp"
"Leptictida","Prodiacodon tauricinerei",4.817,"omnivore",56.9,53.1,"Paleocene","Eocene","lyons"
"Litopterna","Macrauchenia patachonica",13.80343797673,"herbivore",2.58,0.01,"Pleistocene","Holocene","mom"
"Litopterna","Windhausenia sp.",13.4588356140255,"herbivore",2.58,0.012,"Pleistocene","Pleistocene","mom"
"Macroscelidea","Adunator ladae",2.84,"invertivore",61.2,59.8,"Paleocene","Paleocene","lyons"
"Macroscelidea","Adunator meizon",2.955,"invertivore",58.35,57.9,"Paleocene","Paleocene","lyons"
"Macroscelidea","Adunator minutus",3.157,"invertivore",59.1,56.1,"Paleocene","Paleocene","lyons"
"Macroscelidea","Aletodon conardae",7.011,"invertivore",58.9,57.2,"Paleocene","Paleocene","lyons"
"Macroscelidea","Aletodon gunnelli",7.084,"invertivore",57.85,55.7,"Paleocene","Eocene","lyons"
"Macroscelidea","Aletodon quadravus",6.492,"invertivore",58.7,58.3,"Paleocene","Paleocene","lyons"
"Macroscelidea","Ankylodon annectens",3.4125,"invertivore",33.3,29.25,"Oligocene","Oligocene","lyons"
"Macroscelidea","Apheliscus chydaeus",4.203,"invertivore",55.45,54.7,"Eocene","Eocene","lyons"
"Macroscelidea","Apheliscus insidiosus",4.304681012,"invertivore",55.1,53.3,"Eocene","Eocene","lyons"
"Macroscelidea","Apheliscus nitidus",4.762,"invertivore",57.35,56.1,"Paleocene","Paleocene","lyons"
"Macroscelidea","Apheliscus wapitiensis",3.583270701,"invertivore",55.3,54.7,"Eocene","Eocene","lyons"
"Macroscelidea","Crypholestes vaughni",2.927,"invertivore",45.45,43.75,"Eocene","Eocene","lyons"
"Macroscelidea","Dorraletes diminutivus",3.943,"invertivore",59.4,58.2,"Paleocene","Paleocene","lyons"
"Macroscelidea","Elephantulus brachyrhynchus",3.8607297110406,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Elephantulus brachyrhynchus",3.860729711,"invertivore",5.333,0,"Pliocene","Holocene","supp"
"Macroscelidea","Elephantulus edwardii",3.87120101090789,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Elephantulus fuscipes",4.04303372382101,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Elephantulus fuscus",4.060443011,"invertivore",5.333,0.781,"Pliocene","Pleistocene","supp"
"Macroscelidea","Elephantulus intufi",3.90199287139079,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Elephantulus myurus",3.958906591327,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Elephantulus rozeti",3.87120101090789,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Elephantulus rufescens",3.62434093297637,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Elephantulus rupestris",4.19569705648239,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Gingerichia geoteretes",4.298902202,"invertivore",60.35,60.35,"Paleocene","Paleocene","lyons"
"Macroscelidea","Gingerichia hystrix",3.850823495,"invertivore",60.4,60.4,"Paleocene","Paleocene","lyons"
"Macroscelidea","Haplaletes disceptatrix",4.873,"invertivore",61.6,59.55,"Paleocene","Paleocene","lyons"
"Macroscelidea","Haplaletes pelicatus",5.339,"invertivore",59.85,58.7835,"Paleocene","Paleocene","lyons"
"Macroscelidea","Haplomylus bozemanensis",4.903,"invertivore",55.8,55.25,"Eocene","Eocene","lyons"
"Macroscelidea","Haplomylus palustris",4.688,"invertivore",57.6,57.6,"Paleocene","Paleocene","lyons"
"Macroscelidea","Haplomylus scottianus",5.193,"invertivore",55.8,54.2,"Eocene","Eocene","lyons"
"Macroscelidea","Haplomylus simpsoni",5.364,"invertivore",58.1,55.8,"Paleocene","Eocene","lyons"
"Macroscelidea","Haplomylus speirianus",4.897,"invertivore",55.95,53.1,"Eocene","Eocene","lyons"
"Macroscelidea","Litocherus lacunatus",4.334,"invertivore",60.7,57.9,"Paleocene","Paleocene","lyons"
"Macroscelidea","Litocherus notissimus",3.62,"invertivore",59.9,58.2165,"Paleocene","Paleocene","lyons"
"Macroscelidea","Litocherus zygeus",4.034,"invertivore",59.2,58.2165,"Paleocene","Paleocene","lyons"
"Macroscelidea","Litomylus dissentaneus",5.285,"invertivore",61.35,59.4,"Paleocene","Paleocene","lyons"
"Macroscelidea","Litomylus orthronepius",5.203,"invertivore",63.4,63.3,"Paleocene","Paleocene","lyons"
"Macroscelidea","Litomylus scaphicus",5.629620522,"invertivore",61.7,59.4,"Paleocene","Paleocene","lyons"
"Macroscelidea","Macrocranion junnei",3.889742938,"invertivore",55.6,52.2,"Eocene","Eocene","lyons"
"Macroscelidea","Macrocranion nitens",3.365,"invertivore",55.8,50.9375,"Eocene","Eocene","lyons"
"Macroscelidea","Macrocranion robinsoni",4.094271983,"invertivore",42.05,41.8,"Eocene","Eocene","lyons"
"Macroscelidea","Macroscelides proboscideus",3.64283551561253,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Macroscelides proboscideus",3.642835516,"invertivore",5.333,0.0117,"Pliocene","Pleistocene","supp"
"Macroscelidea","Patriolestes novaceki",5.117,"invertivore",45.45,43.75,"Eocene","Eocene","lyons"
"Macroscelidea","Petrodromus tetradactylus",5.23377351206291,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Phenacodaptes sabulosus",5.168,"invertivore",59.1,57.6,"Paleocene","Paleocene","lyons"
"Macroscelidea","Proterixoides davisi",5.184,"invertivore",43.05,39.75,"Eocene","Eocene","lyons"
"Macroscelidea","Rhynchocyon chrysopygus",6.29155988025619,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Rhynchocyon cirnei",6.19441355433666,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Rhynchocyon petersi",6.04973345523196,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Macroscelidea","Scenopagus curtidens",3.292,"invertivore",53.5,44.55,"Eocene","Eocene","lyons"
"Macroscelidea","Scenopagus edenensis",4.019,"invertivore",51.9,46.3,"Eocene","Eocene","lyons"
"Macroscelidea","Scenopagus hewettensis",3.459,"invertivore",55.25,55.2,"Eocene","Eocene","lyons"
"Macroscelidea","Scenopagus priscus",2.554314277,"invertivore",51.9,45.15,"Eocene","Eocene","lyons"
"Macroscelidea","Sespedectes singularis",3.097,"invertivore",44.55,39.75,"Eocene","Eocene","lyons"
"Macroscelidea","Sespedectes stocki",3.174,"invertivore",40.35,40.35,"Eocene","Eocene","lyons"
"Macroscelidea","Utemylus serior",5.934107048,"invertivore",58.4,58.3,"Paleocene","Paleocene","lyons"
"Marsupialia","Armintodelphys blacki",2.002,"omnivore",51.9,50.9375,"Eocene","Eocene","lyons"
"Marsupialia","Armintodelphys dawsoni",1.92554344,"omnivore",52.1,50.45,"Eocene","Eocene","lyons"
"Marsupialia","Copedelphys stevensoni",1.417,"omnivore",33.6,32.9,"Oligocene","Oligocene","lyons"
"Marsupialia","Copedelphys titanelix",1.778,"omnivore",37,34.3,"Eocene","Eocene","lyons"
"Marsupialia","Didelphidectes pumilis",2.587,"omnivore",36.9,36.9,"Eocene","Eocene","lyons"
"Marsupialia","Herpetotherium fugax",2.963,"omnivore",37.85,29.25,"Eocene","Oligocene","lyons"
"Marsupialia","Herpetotherium innominatum",2.637,"omnivore",55.7,41.8,"Eocene","Eocene","lyons"
"Marsupialia","Herpetotherium knighti",3.141,"omnivore",51.8,40.35,"Eocene","Eocene","lyons"
"Marsupialia","Herpetotherium marsupium",5.00636486,"omnivore",53.4,41.8,"Eocene","Eocene","lyons"
"Marsupialia","Herpetotherium merriami",3.211,"omnivore",28.75,28.75,"Oligocene","Oligocene","lyons"
"Marsupialia","Herpetotherium valens",3.379,"omnivore",37.85,34.3,"Eocene","Eocene","lyons"
"Marsupialia","Herpetotherium youngi",2.861,"omnivore",32.9,22.15,"Oligocene","Miocene","lyons"
"Marsupialia","Mimoperadectes labrus",4.826,"omnivore",56.1,52.2,"Paleocene","Eocene","lyons"
"Marsupialia","Nanodelphys hunti",1.707,"omnivore",42.45,32.9,"Eocene","Oligocene","lyons"
"Marsupialia","Nortedelphys jasoni",3.943766427,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Marsupialia","Nortedelphys magnus",4.956543893,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"Marsupialia","Peradectes californicus",1.85,"omnivore",45.15,39.75,"Eocene","Eocene","lyons"
"Marsupialia","Peradectes chesteri",1.764,"omnivore",57.15,48.75,"Paleocene","Eocene","lyons"
"Marsupialia","Peradectes elegans",2.584,"omnivore",60.35,55.7,"Paleocene","Eocene","lyons"
"Marsupialia","Peradectes protinnominatus",2.195,"omnivore",59.4,52.2,"Paleocene","Eocene","lyons"
"Marsupialia","Peratherium comstocki",4.483,"omnivore",54.9,43.3,"Eocene","Eocene","lyons"
"Marsupialia","Peratherium edwardi",5.132753415,"omnivore",52.5,52.5,"Eocene","Eocene","lyons"
"Meridiolestida","Coloniatherium cilinskii",7.874625795,"invertivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"Meridiolestida","Leonardus cuspidatus",3.995443911,"invertivore",83.5,66,"Late Cretaceous","Late Cretaceous","supp"
"Meridiolestida","Mesungulatum houssayi",6.686828224,"invertivore",83.5,66,"Late Cretaceous","Late Cretaceous","supp"
"Meridiolestida","Orretherium tzen",6.249275081,"invertivore",83.5,66,"Late Cretaceous","Late Cretaceous","supp"
"Meridiolestida","Reigitherium bunodonta",3.597401826,"invertivore",83.5,66,"Late Cretaceous","Late Cretaceous","supp"
"Microbiotheria","Dromiciops gliroides",3.10458667846607,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Monotremata","Kollikodon ritchiei",7.567704902,"invertivore",99.6,93.5,"Late Cretaceous","Late Cretaceous","supp"
"Monotremata","Megalibgwilia ramsayi",9.21034037197618,"invertivore",2.58,0.104,"Pleistocene","Pleistocene","mom"
"Monotremata","Steropodon galmani",8.106736081,"invertivore",99.6,93.5,"Late Cretaceous","Late Cretaceous","supp"
"Monotremata","Tachyglossus aculeatus",8.41183267575841,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
"Monotremata","Zaglossus hacketti",10.3089526606443,"invertivore",2.58,0.122,"Pleistocene","Pleistocene","mom"
"Monotremata","Zaglossus robusta",14.95987934,"invertivore",5.333,0.0117,"Pliocene","Pleistocene","supp"
"Multituberculata","Allocosmodon woodi",3.828641396,"herbivore",58.7835,58.7835,"Paleocene","Paleocene","lyons"
"Multituberculata","Anconodon cochranensis",4.027025634,"omnivore",61.1,59.85,"Paleocene","Paleocene","lyons"
"Multituberculata","Arginbaatar dimitrievae",2.397895273,"herbivore",112.525,112.525,"Early Cretaceous","Early Cretaceous","lyons"
"Multituberculata","Baiotomeus douglassi",5.153976301,"omnivore",61.1,60,"Paleocene","Paleocene","lyons"
"Multituberculata","Baiotomeus rhothonion",2.995732274,"omnivore",60.7165,60.7165,"Paleocene","Paleocene","lyons"
"Multituberculata","Barbatodon oardaensis",3.828743788,"herbivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"Multituberculata","Barbatodon transylvanicus",5.18178355,"herbivore",68.05,66.775,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Bolodon osborni",3.091042453,"herbivore",142.85,142.85,"Early Cretaceous","Early Cretaceous","lyons"
"Multituberculata","Bryceomys fumosus",2.665606672,"herbivore",91.9,91.5,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Bryceomys hadrosus",4.430724577,"herbivore",91.9,91.5,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Bryceomys intermedius",3.40697674,"herbivore",113,93.5,"Early Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Bubodens magnus",9.153301165,"herbivore",66.775,66.775,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Catopsalis alexanderi",8.159828412,"herbivore",65.2,64.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Catopsalis calgariensis",10.13227811,"herbivore",61.1,60.5,"Paleocene","Paleocene","lyons"
"Multituberculata","Catopsalis fissidens",9.319253976,"herbivore",61.8,61.5,"Paleocene","Paleocene","lyons"
"Multituberculata","Catopsalis foliatus",8.461833185,"herbivore",64.05,64.05,"Paleocene","Paleocene","lyons"
"Multituberculata","Catopsalis waddleae",10.27545696,"herbivore",63.4,63.4,"Paleocene","Paleocene","lyons"
"Multituberculata","Catopsbaatar catopsaloides",6.80774471,"omnivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Cedaromys bestia",4.2651779275,"herbivore",113,93.5,"Early Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Cedaromys parvus",3.8234693,"herbivore",113,93.5,"Early Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Chulsanbaatar vulgaris",2.779571813,"omnivore",83.6,70.6,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Cimexomys antiquus",3.5057303865,"herbivore",85.8,70.6,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Cimexomys arapahoensis",4.644390899,"herbivore",64.9,64.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Cimexomys judithae",3.391459195,"herbivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"Multituberculata","Cimexomys minor",3.56698777,"herbivore",70.6,63.3,"Late Cretaceous","Paleocene","lyons, supp"
"Multituberculata","Cimolodon electus",5.0891644615,"omnivore",85.8,69.325,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Cimolodon nitidus",5.533220441,"omnivore",83.5,65.55,"Late Cretaceous","Paleocene","lyons, supp"
"Multituberculata","Cimolodon similis",4.724619229,"omnivore",100.5,70.6,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Cimolodon wardi",4.248495242,"omnivore",81.35,81.35,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Cimolomys clarki",5.562139204,"herbivore",81.35,73.825,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Cimolomys gracilis",5.7706273285,"herbivore",70.6,65.55,"Late Cretaceous","Paleocene","lyons, supp"
"Multituberculata","Dakotamys malcolmi",3.3185075195,"herbivore",100.5,93.3,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Djadochtatherium matthewi",5.739792912,"omnivore",72.75,72.75,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Ectypodus aphronorus",2.890371758,"omnivore",60.9,60.5,"Paleocene","Paleocene","lyons"
"Multituberculata","Ectypodus childei",2.929437913,"omnivore",54.65,50.9375,"Eocene","Eocene","lyons"
"Multituberculata","Ectypodus laytoni",2.384947636,"omnivore",59.55,57.15,"Paleocene","Paleocene","lyons"
"Multituberculata","Ectypodus lovei",2.82271949,"omnivore",42.55,36.8,"Eocene","Eocene","lyons"
"Multituberculata","Ectypodus musculus",3.517458956,"omnivore",60,59.5,"Paleocene","Paleocene","lyons"
"Multituberculata","Ectypodus powelli",3.157937912,"omnivore",60.55,56.1,"Paleocene","Paleocene","lyons"
"Multituberculata","Ectypodus simpsoni",3.681834809,"omnivore",54.8,54,"Eocene","Eocene","lyons"
"Multituberculata","Ectypodus szalayi",2.973021227,"omnivore",61.45,60.4,"Paleocene","Paleocene","lyons"
"Multituberculata","Ectypodus tardus",2.583953325,"omnivore",59,54.7,"Paleocene","Eocene","lyons"
"Multituberculata","Eobaatar clemensi",2.890371758,"herbivore",127.725,127.725,"Early Cretaceous","Early Cretaceous","lyons"
"Multituberculata","Eobaatar magnus",3.218875825,"herbivore",112.525,112.525,"Early Cretaceous","Early Cretaceous","lyons"
"Multituberculata","Essonodon browni",7.539059428,"herbivore",68.45,65.55,"Late Cretaceous","Paleocene","lyons"
"Multituberculata","Eucosmodon americanus",6.401208927,"herbivore",64,64,"Paleocene","Paleocene","lyons"
"Multituberculata","Filikomys minor",2.4084415905,"omnivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Filikomys primaevus",3.934808346,"omnivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Guibaatar castellanus",5.559023326,"omnivore",83.6,72.1,"Late Cretaceous","Late Cretaceous","supp"
"Multituberculata","Hainina vianeyae",4.317488114,"herbivore",57.25,57.25,"Paleocene","Paleocene","lyons"
"Multituberculata","Heishanobaatar triangulus",3.100368913,"herbivore",125,100.5,"Early Cretaceous","Early Cretaceous","lyons, supp"
"Multituberculata","Janumys erebos",2.0145635085,"herbivore",105.3,93.5,"Early Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Janumys erebros",1.791759469,"herbivore",98.4,98.4,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Kamptobaatar kuczynskii",2.564949357,"omnivore",74.5,72.75,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Kimbetohia mziae",4.276666119,"omnivore",65.15,64.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Krauseia clemensi",3.524073801,"omnivore",61.45,60.95,"Paleocene","Paleocene","lyons"
"Multituberculata","Kryptobaatar dashzevegi",4.418840608,"omnivore",77.05,72.75,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Lambdopsalis bulla",6.65415252,"herbivore",57.25,57.25,"Paleocene","Paleocene","lyons"
"Multituberculata","Liaobaatar changi",4.608984936,"herbivore",125,100.5,"Early Cretaceous","Early Cretaceous","lyons, supp"
"Multituberculata","Litovoi tholocephalos",5.11,"herbivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"Multituberculata","Loxaulax valdensis",3.970291914,"herbivore",138.3,127.725,"Early Cretaceous","Early Cretaceous","lyons"
"Multituberculata","Mangasbaatar udanii",6.78,"omnivore",83.6,72.1,"Late Cretaceous","Late Cretaceous","supp"
"Multituberculata","Meniscoessus collomensis",6.612041035,"herbivore",69.325,69.325,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Meniscoessus intermedius",5.994826161,"herbivore",82.65,69.325,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Meniscoessus major",6.616053382,"herbivore",78.75,72.75,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Meniscoessus robustus",7.626695683,"herbivore",72.1,65.55,"Late Cretaceous","Paleocene","lyons, supp"
"Multituberculata","Meniscoessus seminoensis",7.731109192,"herbivore",70.1,70.1,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Mesodma ambigua",4.047721506,"omnivore",65.3,63.5,"Paleocene","Paleocene","lyons"
"Multituberculata","Mesodma formosa",3.8011122025,"omnivore",83.5,62.8,"Late Cretaceous","Paleocene","lyons, supp"
"Multituberculata","Mesodma hensleighi",2.9019578005,"omnivore",83.5,63.3,"Late Cretaceous","Paleocene","lyons, supp"
"Multituberculata","Mesodma pygmaea",2.143,"omnivore",64.25,57.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Mesodma senecta",3.954645957,"omnivore",82.65,80.275,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Mesodma thompsoni",3.93335915733333,"omnivore",83.5,61.7,"Late Cretaceous","Paleocene","lyons, lyons, supp"
"Multituberculata","Mesodmops tenuis",3.295836866,"omnivore",57.25,57.25,"Paleocene","Paleocene","lyons"
"Multituberculata","Microcosmodon arcuatus",3.538458957,"herbivore",63.3,63.3,"Paleocene","Paleocene","lyons"
"Multituberculata","Microcosmodon conus",3.287094817,"herbivore",59,57.2,"Paleocene","Paleocene","lyons"
"Multituberculata","Microcosmodon harleyi",3.190418433,"herbivore",64.5,64.5,"Paleocene","Paleocene","lyons"
"Multituberculata","Microcosmodon rosei",3.417253781,"herbivore",57.15,56.1,"Paleocene","Paleocene","lyons"
"Multituberculata","Mimetodon churchilli",4.50795406,"omnivore",57.7,57.7,"Paleocene","Paleocene","lyons"
"Multituberculata","Mimetodon silberlingi",3.233147915,"omnivore",60.9,58,"Paleocene","Paleocene","lyons"
"Multituberculata","Nemegtbaatar gobiensis",5.365976015,"herbivore",77.05,74.5,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Neoliotomus conventus",6.906600275,"omnivore",58.1,57.15,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoliotomus ultimus",7.336120832,"omnivore",56.1,54.8,"Paleocene","Eocene","lyons"
"Multituberculata","Neoplagiaulax donaldorum",3.951243719,"omnivore",60.4,60.1,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoplagiaulax grangeri",4.587799746,"omnivore",60.8,60.55,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoplagiaulax hazeni",4.50795406,"omnivore",59.2,57.7,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoplagiaulax hunteri",3.817,"omnivore",60.7165,57.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoplagiaulax macrotomeus",2.843366137,"omnivore",61.25,61.25,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoplagiaulax mckennai",4.107436932,"omnivore",61.9,58.85,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoplagiaulax paskapooensis",3.871201011,"omnivore",58.7835,58.7835,"Paleocene","Paleocene","lyons"
"Multituberculata","Neoplagiaulax serrator",3.583518938,"omnivore",58.7835,58.7835,"Paleocene","Paleocene","lyons"
"Multituberculata","Nessovbaatar multicostatus",3.295836866,"omnivore",77.05,77.05,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Nidimys occultus",4.7475365055,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Paracimexomys magister",4.50795406,"herbivore",80.275,80.275,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Paracimexomys perplexus",2.944438979,"herbivore",98.4,96.65,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Paracimexomys priscus",4.161247621,"herbivore",81.7335,67.6,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Paracimexomys propriscus",3.828641396,"herbivore",69.325,69.325,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Paracimexomys robisoni",3.208548269,"herbivore",98.4,69.325,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Parectypodus corystes",3.871201011,"omnivore",60.7165,60.7165,"Paleocene","Paleocene","lyons"
"Multituberculata","Parectypodus foxi",4.384854414,"omnivore",68.5,68.5,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Parectypodus lunatus",3.204102255,"omnivore",55.7,53.6,"Eocene","Eocene","lyons"
"Multituberculata","Parectypodus sinclairi",2.763219489,"omnivore",61.75,59.35,"Paleocene","Paleocene","lyons"
"Multituberculata","Parectypodus sylviae",2.880021227,"omnivore",64.25,60.4,"Paleocene","Paleocene","lyons"
"Multituberculata","Parectypodus trovessartianus",4.506894288,"omnivore",61.45,61.45,"Paleocene","Paleocene","lyons"
"Multituberculata","Parikimys carpenteri",3.829267853,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","lyons, supp"
"Multituberculata","Passumys angelli",2.959384019,"herbivore",145,136.4,"Early Cretaceous","Early Cretaceous","supp"
"Multituberculata","Pentacosmodon pronus",4.007333185,"herbivore",57.7,57.7,"Paleocene","Paleocene","lyons"
"Multituberculata","Prionessus lucifer",5.910796644,"herbivore",57.25,57.25,"Paleocene","Paleocene","lyons"
"Multituberculata","Prochetodon cavus",4.821966064,"omnivore",57.8,57.7,"Paleocene","Paleocene","lyons"
"Multituberculata","Prochetodon foxi",5.197586908,"omnivore",61.9,57.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Prochetodon taxus",5.126317647,"omnivore",57.15,57.15,"Paleocene","Paleocene","lyons"
"Multituberculata","Ptilodus fractus",4.542980175,"herbivore",59.8,58.2,"Paleocene","Paleocene","lyons"
"Multituberculata","Ptilodus gnomus",4.219507705,"herbivore",60.7165,59.85,"Paleocene","Paleocene","lyons"
"Multituberculata","Ptilodus kummae",4.745240183,"herbivore",61.9,57.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Ptilodus mediaevus",5.418375101,"herbivore",61.75,59.6,"Paleocene","Paleocene","lyons"
"Multituberculata","Ptilodus montanus",5.784972737,"herbivore",61.75,58.7,"Paleocene","Paleocene","lyons"
"Multituberculata","Ptilodus wyomingensis",4.990432587,"herbivore",60.9,58.65,"Paleocene","Paleocene","lyons"
"Multituberculata","Sinobaatar fuxinensis",3.6445408825,"herbivore",125,100.5,"Early Cretaceous","Early Cretaceous","lyons, supp"
"Multituberculata","Sinobaatar xiei",3.390238136,"herbivore",125,100.5,"Early Cretaceous","Early Cretaceous","lyons, supp"
"Multituberculata","Sloanbaatar mirabilis",3.135494216,"omnivore",74.5,72.75,"Late Cretaceous","Late Cretaceous","lyons"
"Multituberculata","Sphenopsalis nobilis",9.210340372,"herbivore",57.25,57.25,"Paleocene","Paleocene","lyons"
"Multituberculata","Stygimys jepseni",4.461408399,"omnivore",61.05,60.75,"Paleocene","Paleocene","lyons"
"Multituberculata","Stygimys kuszmauli",5.516793137,"omnivore",65.2,63.6,"Paleocene","Paleocene","lyons"
"Multituberculata","Taeniolabis lamberti",9.989005354,"herbivore",64.5,64.5,"Paleocene","Paleocene","lyons"
"Multituberculata","Taeniolabis taoensis",10.62598023,"herbivore",64,62.8,"Paleocene","Paleocene","lyons"
"Multituberculata","Uzbekbaatar wardi",3.434751638,"herbivore",93.5,86.3,"Late Cretaceous","Late Cretaceous","supp"
"Multituberculata","Valenopsalis joyneri",7.797702036,"herbivore",66.775,64.05,"Late Cretaceous","Paleocene","lyons"
"Multituberculata","Xyronomys robinsoni",3.218875825,"omnivore",64.9,64.9,"Paleocene","Paleocene","lyons"
"Multituberculata","Yubaatar zhongyuanensis",7.343712355,"herbivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"Notoryctemorphia","Notoryctes caurinus",3.52636052461616,"invertivore",2.58,0,"Pleistocene","Holocene","mom"
