"Order","Genus_species","lnMass_g","Recoded_Diet","FAD","LAD","FAD_interval","LAD_interval","sources"
"","Oodectes jepseni",6.180815,"invertivore",53.4875,53.4875,"Eocene","Eocene","lyons"
"","Oxyacodon agapetillus",5.196,"herbivore",64.75,63.3,"Paleocene","Paleocene","lyons"
"","Oxyacodon apiculatus",6.5,"herbivore",64.3,63,"Paleocene","Paleocene","lyons"
"","Oxyacodon ferronensis",5.513,"herbivore",64.5,63.1,"Paleocene","Paleocene","lyons"
"","Oxyacodon priscilla",5.965,"herbivore",64.65,64,"Paleocene","Paleocene","lyons"
"","Palaeanodon ignavus",7.679740173,"invertivore",55.1,53.2,"Eocene","Eocene","lyons"
"","Paleoungulatum hooleyi",7.301335591,"herbivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"","Paranyctoides maleficus",2.396,"invertivore",77.9,76.7,"Late Cretaceous","Late Cretaceous","lyons"
"","Paranyctoides quadrans",3.624670989,"invertivore",93.5,86.3,"Late Cretaceous","Late Cretaceous","supp"
"","Paranyctoides sternbergi",2.331,"invertivore",78.7,69.325,"Late Cretaceous","Late Cretaceous","lyons"
"","Parazhelestes mynbulakensis",5.928540074,"invertivore",93.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Pariadens mckennai",5.216039176,"carnivore",105.3,93.5,"Early Cretaceous","Late Cretaceous","supp"
"","Pediomys elegans",3.769364506,"invertivore",83.5,65.55,"Late Cretaceous","Paleocene","lyons, supp"
"","Peramus dubius",0.668256651,"invertivore",145,140.2,"Early Cretaceous","Early Cretaceous","supp"
"","Peramus tenuirostris",1.356061097,"invertivore",145,140.2,"Early Cretaceous","Early Cretaceous","supp"
"","Periptychus carinidens",10.238,"herbivore",63.8,59.7,"Paleocene","Paleocene","lyons"
"","Periptychus coarctatus",10.031,"herbivore",64.15,61.75,"Paleocene","Paleocene","lyons"
"","Phoberogale ginesticus",10.61491728,"omnivore",21.2,21.2,"Miocene","Miocene","lyons"
"","Prokennalestes minor",2.250563927,"invertivore",125,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Prokennalestes trofimovi",3.129230505,"invertivore",125,100.5,"Early Cretaceous","Early Cretaceous","supp"
"","Propalaeanodon schaffi",3.123631689,"invertivore",57.7,57.7,"Paleocene","Paleocene","lyons"
"","Protalphadon lulli",2.785037756,"omnivore",83.5,66,"Late Cretaceous","Late Cretaceous","supp"
"","Protictis agastor",7.721,"carnivore",58.35,58.3,"Paleocene","Paleocene","lyons"
"","Protictis haydenianus",7.833,"carnivore",61.75,58.9,"Paleocene","Paleocene","lyons"
"","Protictis paralus",6.08,"carnivore",58.7835,58.3,"Paleocene","Paleocene","lyons"
"","Protictis simpsoni",7.8671055,"carnivore",61.45,61.45,"Paleocene","Paleocene","lyons"
"","Psittacotherium multifragum",11.52951418,"herbivore",61.5,59.6,"Paleocene","Paleocene","lyons"
"","Quyania chowi",2.342094517,"invertivore",11.608,2.588,"Miocene","Pliocene","supp"
"","Raphictis gausion",5.561,"carnivore",58.8,58,"Paleocene","Paleocene","lyons"
"","Sasayamamylos kawaii",3.112559299,"invertivore",112.03,109,"Early Cretaceous","Early Cretaceous","supp"
"","Scalaridelphys martini",5.678208327,"omnivore",93.5,89.3,"Late Cretaceous","Late Cretaceous","supp"
"","Sheikhdzheilia rezvyii",3.563204609,"invertivore",99.6,93.5,"Late Cretaceous","Late Cretaceous","supp"
"","Simpsonictis pegus",5.684,"carnivore",60.9,60.4,"Paleocene","Paleocene","lyons"
"","Simpsonictis tenuis",4.671,"carnivore",60.9,59.85,"Paleocene","Paleocene","lyons"
"","Sinbadelphys schmidti",1.89913963,"omnivore",113,89.8,"Early Cretaceous","Late Cretaceous","supp"
"","Sinodelphys szalayi",3.48,"invertivore",129.4,125,"Early Cretaceous","Early Cretaceous","supp"
"","Spalacolestes cretulablatta",1.385361149,"invertivore",105.3,93.5,"Early Cretaceous","Late Cretaceous","lyons, supp"
"","Spalacotheridium noblei",0.967,"invertivore",98.4,96.65,"Late Cretaceous","Late Cretaceous","lyons"
"","Spalacotherium evansae",0.556338999,"invertivore",145,139.8,"Early Cretaceous","Early Cretaceous","supp"
"","Spalacotherium tricuspidens",3.048710561,"invertivore",145,136.4,"Early Cretaceous","Early Cretaceous","supp"
"","Stylinodon mirus",10.43142641,"herbivore",52.3,44.95,"Eocene","Eocene","lyons, lyons"
"","Symmetrodontoides canadensis",2.1571462875,"invertivore",86.3,80.275,"Late Cretaceous","Late Cretaceous","lyons, supp"
"","Symmetrodontoides foxi",2.158,"invertivore",82.85,81.35,"Late Cretaceous","Late Cretaceous","lyons"
"","Symmetrolestes parvus",0.669527429,"invertivore",130,113,"Early Cretaceous","Early Cretaceous","supp"
"","Talpa caeca",4.527208645,"invertivore",5.333,0.0117,"Pliocene","Pleistocene","supp"
"","Talpa europaea",3.480542939,"invertivore",5.333,0,"Pliocene","Holocene","supp"
"","Talpa minuta",2.929449132,"invertivore",23.03,0.0117,"Miocene","Pleistocene","supp"
"","Tapocyon dawsonae",8.775512602,"invertivore",42.85,42.85,"Eocene","Eocene","lyons"
"","Tapocyon robustus",9.467,"invertivore",43.05,40.75,"Eocene","Eocene","lyons"
"","Tetrapassalus mckennai",1.618,"invertivore",49.75,49.75,"Eocene","Eocene","lyons"
"","Thylacaelurus campester",3.534,"invertivore",42.45,42.3,"Eocene","Eocene","lyons"
"","Thylacaelurus montanus",4.139,"invertivore",42.2,37.4,"Eocene","Eocene","lyons"
"","Trapalcotherium matuastensis",4.798619695,"invertivore",83.5,66,"Late Cretaceous","Late Cretaceous","supp"
"","Tubulodon atopum",5.233,"invertivore",54.2,53.3,"Eocene","Eocene","lyons"
"","Tubulodon pearcei",5.992430974,"invertivore",52.5,52.5,"Eocene","Eocene","lyons"
"","Tubulodon taylori",5.078649596,"invertivore",52.1,52.1,"Eocene","Eocene","lyons"
"","Tubulodon woodi",6.717402703,"invertivore",53.4875,52.1,"Eocene","Eocene","lyons"
"","Turgidodon praesagus",5.147803516,"omnivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Uchkudukodon nessovi",1.839719759,"invertivore",93.5,89.3,"Late Cretaceous","Late Cretaceous","supp"
"","Unnuakomys hutchisoni",2.81481034,"omnivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"","Valentinella vitrollense",7.434609989,"invertivore",70.6,66,"Late Cretaceous","Late Cretaceous","supp"
"","Vincelestes neuquenianus",6.8,"invertivore",129.4,122.46,"Early Cretaceous","Early Cretaceous","supp"
"","Vintana sertichi",9.1,"invertivore",72.1,66,"Late Cretaceous","Late Cretaceous","supp"
"","Viverravus acutus",5.989,"carnivore",56.8,52.7,"Paleocene","Eocene","lyons"
"","Viverravus gracilis",6.836,"carnivore",55.1,46.15,"Eocene","Eocene","lyons"
"","Viverravus laytoni",5.283,"carnivore",57.9,52.2,"Paleocene","Eocene","lyons"
"","Viverravus lutosus",6.231,"carnivore",55.65,50.9375,"Eocene","Eocene","lyons"
"","Viverravus minutus",6.166,"carnivore",52.4,45.15,"Eocene","Eocene","lyons"
"","Viverravus politus",6.973,"carnivore",57.7,53.2,"Paleocene","Eocene","lyons"
"","Viverravus rosei",4.667,"carnivore",57.25,54.4,"Paleocene","Eocene","lyons"
"","Viverravus sicarius",7.383,"carnivore",51.75,48.95,"Eocene","Eocene","lyons"
"","Yaverlestes gassoni",0.972286096,"invertivore",129.4,125,"Early Cretaceous","Early Cretaceous","supp"
"","Zalambdalestes grangeri",4.142523048,"invertivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Zalambdalestes lechei",4.42,"invertivore",83.6,70.6,"Late Cretaceous","Late Cretaceous","supp"
"","Zhangheotherium quinquecuspidens",2.386097196,"invertivore",129.4,122.46,"Early Cretaceous","Early Cretaceous","supp"
"","Zhangolestes jilinensis",3.810003068,"invertivore",125,93.9,"Early Cretaceous","Late Cretaceous","supp"
"","Zhelestes temirkazyk",5.957646562,"invertivore",93.5,89.3,"Late Cretaceous","Late Cretaceous","supp"
"","Zofialestes longidens",4.258713186,"invertivore",83.5,70.6,"Late Cretaceous","Late Cretaceous","supp"
"Acreodi","Ankalagon saurognathus",10.396,"carnivore",61.25,61.2,"Paleocene","Paleocene","lyons"
"Acreodi","Dissacus argenteus",8.97,"carnivore",57.7,57.7,"Paleocene","Paleocene","lyons"
"Acreodi","Dissacus navajovius",8.33,"carnivore",63.7,58.1,"Paleocene","Paleocene","lyons"
"Acreodi","Dissacus praenuntius",9.477,"carnivore",58.3,55.1,"Paleocene","Eocene","lyons"
"Acreodi","Eoconodon copanus",9.236,"omnivore",65.2,65.2,"Paleocene","Paleocene","lyons"
"Acreodi","Eoconodon nidhoggi",8.127,"omnivore",64.3,63.5,"Paleocene","Paleocene","lyons"
