id,Order,Family,Genus,Species,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diet,Body_size_mm,,
Anf3442,Anura,Leptodactylidae,Leptodactylus,Leptodactylus vastus,NA,NA,NA,NA,1,1,Lower Carnivore,250,,
Anf6738,Gymnophiona,Ichthyophiidae,Ichthyophis,Ichthyophis hypocyaneus,NA,NA,NA,NA,1,1,Lower Carnivore,260,,
Anf6725,Gymnophiona,Ichthyophiidae,Ichthyophis,Ichthyophis beddomei,NA,NA,NA,NA,1,1,Lower Carnivore,275,,
Anf6490,Caudata,Proteidae,Necturus,Necturus lewisi,NA,NA,NA,NA,1,1,Lower Carnivore,276,,
Anf4456,Anura,Petropedetidae,Conraua,Conraua goliath,NA,NA,NA,NA,1,1,Lower Carnivore,320,,
Anf6003,Caudata,Ambystomatidae,Ambystoma,Ambystoma tigrinum,NA,NA,NA,NA,1,1,Lower Carnivore,330,,
Anf6690,Gymnophiona,Caeciliidae,Schistometopum,Schistometopum thomense,NA,NA,NA,NA,1,1,Lower Carnivore,350,,
Anf6724,Gymnophiona,Ichthyophiidae,Ichthyophis,Ichthyophis bannanicus,NA,NA,NA,NA,1,1,Lower Carnivore,378.5,,
Anf6491,Caudata,Proteidae,Necturus,Necturus maculosus,NA,NA,NA,NA,1,1,Lower Carnivore,486,,
Anf6589,Caudata,Sirenidae,Siren,Siren intermedia,NA,NA,NA,NA,1,1,Lower Carnivore,686,,
Anf6014,Caudata,Cryptobranchidae,Cryptobranchus,Cryptobranchus alleganiensis,NA,NA,NA,NA,1,1,Lower Carnivore,736.6,,
Anf6590,Caudata,Sirenidae,Siren,Siren lacertina,NA,NA,NA,NA,1,1,Lower Carnivore,978,,
Anf3064,Anura,Hyperoliidae,Afrixalus,Afrixalus fornasini,NA,NA,NA,NA,1,1,Lower Carnivore,40,,
Anf4636,Anura,Ptychadenidae,Ptychadena,Ptychadena uzungwensis,NA,NA,NA,NA,1,1,Lower Carnivore,48,,
Anf2444,Anura,Hylidae,Hypsiboas,Hypsiboas semilineatus,NA,NA,NA,NA,1,1,Lower Carnivore,52,,
Anf5007,Anura,Ranidae,Rana,Rana chevronta,NA,NA,NA,NA,1,1,Lower Carnivore,56,,
Anf2082,Anura,Hemiphractidae,Hemiphractus,Hemiphractus proboscideus,NA,NA,NA,NA,1,1,Lower Carnivore,67,,
Anf2079,Anura,Hemiphractidae,Hemiphractus,Hemiphractus fasciatus,NA,NA,NA,NA,1,1,Lower Carnivore,68.7,,
Anf2011,Anura,Hemiphractidae,Cryptobatrachus,Cryptobatrachus fuhrmanni,NA,NA,NA,NA,1,1,Lower Carnivore,73,,
Anf5002,Anura,Ranidae,Rana,Rana boylii,NA,NA,NA,NA,1,1,Lower Carnivore,73,,
Anf4730,Anura,Ranidae,Amolops,Amolops larutensis,NA,NA,NA,NA,1,1,Lower Carnivore,75,,
Anf3445,Anura,Leptodactylidae,Leptodactylus,Leptodactylus wagneri,NA,NA,NA,NA,1,1,Lower Carnivore,78,,
Anf4566,Anura,Pipidae,Xenopus,Xenopus amieti,NA,NA,NA,NA,1,1,Lower Carnivore,80,,
Anf2083,Anura,Hemiphractidae,Hemiphractus,Hemiphractus scutatus,NA,NA,NA,NA,1,1,Lower Carnivore,81,,
Anf2122,Anura,Hylidae,Aparasphenodon,Aparasphenodon brunoi,NA,NA,NA,NA,1,1,Lower Carnivore,81,,
Anf2910,Anura,Hylidae,Litoria,Litoria raniformis,NA,NA,NA,NA,1,1,Lower Carnivore,90,,
Anf4578,Anura,Pipidae,Xenopus,Xenopus muelleri,NA,NA,NA,NA,1,1,Lower Carnivore,90,,
Anf4702,Anura,Pyxicephalidae,Aubria,Aubria subsigillata,NA,NA,NA,NA,1,1,Lower Carnivore,95,,
Anf2754,Anura,Hylidae,Trachycephalus,Trachycephalus typhonius,NA,NA,NA,NA,1,1,Lower Carnivore,105,,
Anf2466,Anura,Hylidae,Itapotihyla,Itapotihyla langsdorffii,NA,NA,NA,NA,1,1,Lower Carnivore,112,,
Anf3053,Anura,Hylodidae,Megaelosia,Megaelosia massarti,NA,NA,NA,NA,1,1,Lower Carnivore,123.9,,
Anf6530,Caudata,Salamandridae,Notophthalmus,Notophthalmus viridescens,NA,NA,NA,NA,1,1,Lower Carnivore,140,,
Anf4574,Anura,Pipidae,Xenopus,Xenopus laevis,NA,NA,NA,NA,1,1,Lower Carnivore,147,,
Anf2508,Anura,Hylidae,Osteopilus,Osteopilus septentrionalis,NA,NA,NA,NA,1,1,Lower Carnivore,165,,
Anf4556,Anura,Pipidae,Pipa,Pipa arrabali,NA,NA,NA,NA,NA,1,Higher Carnivore,57,,
Anf1160,Anura,Ceratophryidae,Ceratophrys,Ceratophrys ornata,NA,NA,NA,NA,NA,1,Higher Carnivore,112.4,,
Anf3391,Anura,Leptodactylidae,Leptodactylus,Leptodactylus laticeps,NA,NA,NA,NA,NA,1,Higher Carnivore,113.4,,
Anf6362,Caudata,Plethodontidae,Atylodes,Atylodes genei,NA,NA,NA,NA,NA,1,Higher Carnivore,115,,
Anf2078,Anura,Hemiphractidae,Hemiphractus,Hemiphractus bubalus,NA,NA,NA,NA,NA,1,Higher Carnivore,66.3,,
Anf2757,Anura,Hylidae,Xenohyla,Xenohyla truncata,NA,NA,1,1,1,NA,Omnivore,42,,
Anf1637,Anura,Dicroglossidae,Euphlyctis,Euphlyctis hexadactylus,1,NA,NA,1,1,NA,Omnivore,145,,
Anf0394,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,NA,NA,NA,1,1,NA,Lower Carnivore,111,,
Anf2191,Anura,Hylidae,Dendropsophus,Dendropsophus branneri,1,1,1,NA,1,NA,Omnivore,25,,
Anf2230,Anura,Hylidae,Dendropsophus,Dendropsophus minutus,1,1,1,NA,1,NA,Omnivore,27.6,,
Anf0405,Anura,Bufonidae,Anaxyrus,Anaxyrus houstonensis,1,1,NA,NA,1,NA,Omnivore,79,,
Anf0270,Anura,Brachycephalidae,Brachycephalus,Brachycephalus didactylus,1,NA,NA,NA,1,NA,Omnivore,10.7,,
Anf0304,Anura,Brachycephalidae,Ischnocnema,Ischnocnema parva,1,NA,NA,NA,1,NA,Omnivore,25.5,,
Anf1490,Anura,Dendrobatidae,Colostethus,Colostethus fraterdanieli,1,NA,NA,NA,1,NA,Omnivore,27,,
Anf1794,Anura,Dicroglossidae,Occidozyga,Occidozyga laevis,1,NA,NA,NA,1,NA,Omnivore,48,,
Anf0395,Anura,Bufonidae,Anaxyrus,Anaxyrus baxteri,1,NA,NA,NA,1,NA,Omnivore,66,,
Anf0399,Anura,Bufonidae,Anaxyrus,Anaxyrus cognatus,1,NA,NA,NA,1,NA,Omnivore,114,,
Anf0396,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,1,NA,NA,NA,1,NA,Omnivore,125,,
Anf0544,Anura,Bufonidae,Bufo,Bufo gargarizans,1,NA,NA,NA,1,NA,Omnivore,134,,
Anf3984,Anura,Microhylidae,Cophixalus,Cophixalus parkeri,1,NA,NA,NA,1,NA,Omnivore,33.1,,
Anf2322,Anura,Hylidae,Hyla,Hyla meridionalis,1,NA,NA,NA,1,NA,Omnivore,65,,
Anf2370,Anura,Hylidae,Hypsiboas,Hypsiboas albopunctatus,1,NA,NA,NA,1,NA,Omnivore,75,,
Anf4908,Anura,Ranidae,Meristogenys,Meristogenys amoropalamus,1,NA,NA,NA,1,NA,Omnivore,67.4,,
Anf0398,Anura,Bufonidae,Anaxyrus,Anaxyrus canorus,1,NA,NA,NA,1,NA,Omnivore,69,,
Anf0280,Anura,Brachycephalidae,Brachycephalus,Brachycephalus pulex,NA,NA,NA,NA,1,NA,Insectivore,8.4,,
Anf1887,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus iberia,NA,NA,NA,NA,1,NA,Insectivore,11,,
Anf3872,Anura,Microhylidae,Syncope,Syncope carvalhoi,NA,NA,NA,NA,1,NA,Insectivore,11,,
Anf4178,Anura,Microhylidae,Stumpffia,Stumpffia tridactyla,NA,NA,NA,NA,1,NA,Insectivore,11,,
Anf4171,Anura,Microhylidae,Stumpffia,Stumpffia madagascariensis,NA,NA,NA,NA,1,NA,Insectivore,11.5,,
Anf5391,Anura,Sooglossidae,Sechellophryne,Sechellophryne gardineri,NA,NA,NA,NA,1,NA,Insectivore,11.5,,
Anf3942,Anura,Microhylidae,Choerophryne,Choerophryne allisoni,NA,NA,NA,NA,1,NA,Insectivore,11.6,,
Anf3889,Anura,Microhylidae,Aphantophryne,Aphantophryne minuta,NA,NA,NA,NA,1,NA,Insectivore,11.8,,
Anf4174,Anura,Microhylidae,Stumpffia,Stumpffia pygmaea,NA,NA,NA,NA,1,NA,Insectivore,12,,
Anf4309,Anura,Microhylidae,Microhyla,Microhyla superciliaris,NA,NA,NA,NA,1,NA,Insectivore,12,,
Anf3945,Anura,Microhylidae,Choerophryne,Choerophryne burtoni,NA,NA,NA,NA,1,NA,Insectivore,12.4,,
Anf4293,Anura,Microhylidae,Microhyla,Microhyla maculifera,NA,NA,NA,NA,1,NA,Insectivore,13,,
Anf0276,Anura,Brachycephalidae,Brachycephalus,Brachycephalus nodoterga,NA,NA,NA,NA,1,NA,Insectivore,13.4,,
Anf1545,Anura,Dendrobatidae,Ranitomeya,Ranitomeya claudiae,NA,NA,NA,NA,1,NA,Insectivore,13.4,,
Anf0281,Anura,Brachycephalidae,Brachycephalus,Brachycephalus toby,NA,NA,NA,NA,1,NA,Insectivore,13.9,,
Anf0278,Anura,Brachycephalidae,Brachycephalus,Brachycephalus pitanga,NA,NA,NA,NA,1,NA,Insectivore,14,,
Anf5418,Anura,Strabomantidae,Noblella,Noblella myrmecoides,NA,NA,NA,NA,1,NA,Insectivore,14,,
Anf3340,Anura,Leiuperidae,Pseudopaludicola,Pseudopaludicola boliviana,NA,NA,NA,NA,1,NA,Insectivore,14.1,,
Anf3992,Anura,Microhylidae,Cophixalus,Cophixalus sisyphus,NA,NA,NA,NA,1,NA,Insectivore,14.1,,
Anf3953,Anura,Microhylidae,Cophixalus,Cophixalus ateles,NA,NA,NA,NA,1,NA,Insectivore,14.4,,
Anf0272,Anura,Brachycephalidae,Brachycephalus,Brachycephalus ferruginus,NA,NA,NA,NA,1,NA,Insectivore,14.5,,
Anf3944,Anura,Microhylidae,Choerophryne,Choerophryne arndtorum,NA,NA,NA,NA,1,NA,Insectivore,14.8,,
Anf3950,Anura,Microhylidae,Choerophryne,Choerophryne rostellifer,NA,NA,NA,NA,1,NA,Insectivore,14.8,,
Anf0274,Anura,Brachycephalidae,Brachycephalus,Brachycephalus hermogenesi,NA,NA,NA,NA,1,NA,Insectivore,15,,
Anf3957,Anura,Microhylidae,Cophixalus,Cophixalus bombiens,NA,NA,NA,NA,1,NA,Insectivore,15,,
Anf3961,Anura,Microhylidae,Cophixalus,Cophixalus crepitans,NA,NA,NA,NA,1,NA,Insectivore,15,,
Anf3967,Anura,Microhylidae,Cophixalus,Cophixalus hosmeri,NA,NA,NA,NA,1,NA,Insectivore,15,,
Anf4177,Anura,Microhylidae,Stumpffia,Stumpffia tetradactyla,NA,NA,NA,NA,1,NA,Insectivore,15,,
Anf4302,Anura,Microhylidae,Microhyla,Microhyla perparva,NA,NA,NA,NA,1,NA,Insectivore,15,,
Anf4308,Anura,Microhylidae,Microhyla,Microhyla sholigari,NA,NA,NA,NA,1,NA,Insectivore,15,,
Anf0282,Anura,Brachycephalidae,Brachycephalus,Brachycephalus vertebralis,NA,NA,NA,NA,1,NA,Insectivore,15.1,,
Anf3943,Anura,Microhylidae,Choerophryne,Choerophryne amomani,NA,NA,NA,NA,1,NA,Insectivore,15.1,,
Anf0279,Anura,Brachycephalidae,Brachycephalus,Brachycephalus pombali,NA,NA,NA,NA,1,NA,Insectivore,15.3,,
Anf1558,Anura,Dendrobatidae,Ranitomeya,Ranitomeya minuta,NA,NA,NA,NA,1,NA,Insectivore,15.5,,
Anf3885,Anura,Microhylidae,Albericus,Albericus swanhildae,NA,NA,NA,NA,1,NA,Insectivore,15.6,,
Anf0277,Anura,Brachycephalidae,Brachycephalus,Brachycephalus pernix,NA,NA,NA,NA,1,NA,Insectivore,15.8,,
Anf3882,Anura,Microhylidae,Albericus,Albericus rhenaurum,NA,NA,NA,NA,1,NA,Insectivore,15.8,,
Anf3878,Anura,Microhylidae,Albericus,Albericus gudrunae,NA,NA,NA,NA,1,NA,Insectivore,16,,
Anf0266,Anura,Brachycephalidae,Brachycephalus,Brachycephalus alipioi,NA,NA,NA,NA,1,NA,Insectivore,16.2,,
Anf1553,Anura,Dendrobatidae,Ranitomeya,Ranitomeya fulgurita,NA,NA,NA,NA,1,NA,Insectivore,16.5,,
Anf3914,Anura,Microhylidae,Austrochaperina,Austrochaperina polysticta,NA,NA,NA,NA,1,NA,Insectivore,16.5,,
Anf3991,Anura,Microhylidae,Cophixalus,Cophixalus shellyi,NA,NA,NA,NA,1,NA,Insectivore,16.5,,
Anf4127,Anura,Microhylidae,Anodonthyla,Anodonthyla moramora,NA,NA,NA,NA,1,NA,Insectivore,16.5,,
Anf3909,Anura,Microhylidae,Austrochaperina,Austrochaperina minutissima,NA,NA,NA,NA,1,NA,Insectivore,16.6,,
Anf4297,Anura,Microhylidae,Microhyla,Microhyla nanapollexa,NA,NA,NA,NA,1,NA,Insectivore,16.6,,
Anf1906,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus limbatus,NA,NA,NA,NA,1,NA,Insectivore,17,,
Anf1995,Anura,Eleutherodactylidae,Adelophryne,Adelophryne adiastola,NA,NA,NA,NA,1,NA,Insectivore,17,,
Anf1516,Anura,Dendrobatidae,Adelphobates,Adelphobates quinquevittatus,NA,NA,NA,NA,1,NA,Insectivore,17.3,,
Anf3888,Anura,Microhylidae,Albericus,Albericus variegatus,NA,NA,NA,NA,1,NA,Insectivore,17.4,,
Anf2577,Anura,Hylidae,Pseudacris,Pseudacris ocularis,NA,NA,NA,NA,1,NA,Insectivore,17.5,,
Anf3948,Anura,Microhylidae,Choerophryne,Choerophryne nigrescens,NA,NA,NA,NA,1,NA,Insectivore,17.8,,
Anf1970,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus sisyphodemus,NA,NA,NA,NA,1,NA,Insectivore,18,,
Anf3969,Anura,Microhylidae,Cophixalus,Cophixalus infacetus,NA,NA,NA,NA,1,NA,Insectivore,18,,
Anf4250,Anura,Microhylidae,Kalophrynus,Kalophrynus robinsoni,NA,NA,NA,NA,1,NA,Insectivore,18,,
Anf4282,Anura,Microhylidae,Microhyla,Microhyla annectens,NA,NA,NA,NA,1,NA,Insectivore,18,,
Anf4303,Anura,Microhylidae,Microhyla,Microhyla petrigena,NA,NA,NA,NA,1,NA,Insectivore,18,,
Anf3343,Anura,Leiuperidae,Pseudopaludicola,Pseudopaludicola falcipes,NA,NA,NA,NA,1,NA,Insectivore,18.1,,
Anf0079,Anura,Aromobatidae,Anomaloglossus,Anomaloglossus stepheni,NA,NA,NA,NA,1,NA,Insectivore,18.24,,
Anf3966,Anura,Microhylidae,Cophixalus,Cophixalus exiguus,NA,NA,NA,NA,1,NA,Insectivore,18.3,,
Anf4198,Anura,Microhylidae,Chiasmocleis,Chiasmocleis magnova,NA,NA,NA,NA,1,NA,Insectivore,18.3,,
Anf0273,Anura,Brachycephalidae,Brachycephalus,Brachycephalus garbeanus,NA,NA,NA,NA,1,NA,Insectivore,18.6,,
Anf3925,Anura,Microhylidae,Barygenys,Barygenys parvula,NA,NA,NA,NA,1,NA,Insectivore,18.7,,
Anf4205,Anura,Microhylidae,Chiasmocleis,Chiasmocleis supercilialbus,NA,NA,NA,NA,1,NA,Insectivore,18.7,,
Anf0048,Anura,Aromobatidae,Allobates,Allobates pittieri,NA,NA,NA,NA,1,NA,Insectivore,18.8,,
Anf4035,Anura,Microhylidae,Oninia,Oninia senglaubi,NA,NA,NA,NA,1,NA,Insectivore,18.8,,
Anf4298,Anura,Microhylidae,Microhyla,Microhyla nepenthicola,NA,NA,NA,NA,1,NA,Insectivore,18.8,,
Anf3869,Anura,Microhylidae,Synapturanus,Synapturanus rabus,NA,NA,NA,NA,1,NA,Insectivore,18.9,,
Anf3886,Anura,Microhylidae,Albericus,Albericus tuberculus,NA,NA,NA,NA,1,NA,Insectivore,19,,
Anf3988,Anura,Microhylidae,Cophixalus,Cophixalus pulchellus,NA,NA,NA,NA,1,NA,Insectivore,19,,
Anf4000,Anura,Microhylidae,Cophixalus,Cophixalus verecundus,NA,NA,NA,NA,1,NA,Insectivore,19,,
Anf2206,Anura,Hylidae,Dendropsophus,Dendropsophus gaucheri,NA,NA,NA,NA,1,NA,Insectivore,19.2,,
Anf0133,Anura,Arthroleptina,Arthroleptis,Arthroleptis langeri,NA,NA,NA,NA,1,NA,Insectivore,19.3,,
Anf3977,Anura,Microhylidae,Cophixalus,Cophixalus misimae,NA,NA,NA,NA,1,NA,Insectivore,19.6,,
Anf0271,Anura,Brachycephalidae,Brachycephalus,Brachycephalus ephippium,NA,NA,NA,NA,1,NA,Insectivore,19.7,,
