taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,m1_length_mm,m1_width_mm,m1_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
91354,,,Sinodelphys szalayi,3.48,An Early Cretaceous Tribosphenic Mammal and Metatherian Evolution,,,,,,,,1,129.4,125,129.4,125,Barremian,,scansorial,Sinodelphys,insectivore,Sinodelphys
212349,,,Tribactonodon bonfieldi,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,scansorial,Theria,insectivore,Theria
213199,,,Tribotherium africanum,,,,,,,,,,2,152.1,139.8,145,139.8,Tithonian,Berriasian,,Mammalia,insectivore,Mammaliaformes
137753,,,Ukhaatherium nessovi,,,,,,,,,,1,83.6,72.1,83.6,72.1,Campanian,,scansorial,Eutheria,insectivore,Theria
52754,,,Zygiocuspis goldingi,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
45521,,,Dakotadens morrowi,4.366,Body size downgrading of mammals over the late Quaternary,,,,,,,,3,100.5,93.9,100.5,93.9,Cenomanian,,,Metatheria,omnivore,Metatheria
47410,,,Iugomortiferum thoringtoni,3.035,Body size downgrading of mammals over the late Quaternary,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
49927,,,Paranyctoides maleficus,2.396,Body size downgrading of mammals over the late Quaternary,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
49929,,,Paranyctoides sternbergi,2.331,Body size downgrading of mammals over the late Quaternary,,,,,,,,4,83.5,70.6,70.6,66,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
44040,,,Anchistodelphys delicatus,1.988,Body size downgrading of mammals over the late Quaternary,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Metatheria,omnivore,Metatheria
44039,,,Anchistodelphys archibaldi,1.599,Body size downgrading of mammals over the late Quaternary,,,,,,,,3,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
419515,,Adalatheriidae,Adalatherium hui,8.03,Skeleton of a Cretaceous mammal from Madagascar reflects long-term insularity,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
137961,,Adapisoriculidae,Deccanolestes hislopi,,,0.95,0.58,"Eutherian Mammals from the Upper Cretaceous (Maastrichtian) Intertrappean Beds of Naskal, Andhra Pradesh, India","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,0.721070602,2,72.1,66,72.1,66,Maastrichtian,,arboreal,Deccanolestes,insectivore,Theria
202470,,Adapisoriculidae,Deccanolestes narmadensis,,,1.32,0.67,First mammal evidence from the Late Cretaceous of India for biotic dispersal between India and Africa at the KT transition,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,1.585560669,1,72.1,66,72.1,66,Maastrichtian,,arboreal,Deccanolestes,insectivore,Theria
137962,,Adapisoriculidae,Deccanolestes robustus,,,1.48,0.94,"Eutherian Mammals from the Upper Cretaceous (Maastrichtian) Intertrappean Beds of Naskal, Andhra Pradesh, India","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,2.413214532,2,72.1,66,72.1,66,Maastrichtian,,arboreal,Deccanolestes,insectivore,Theria
43923,,Alphadontidae,Alphadon perexiguus,2.114,Body size downgrading of mammals over the late Quaternary,1.49,0.75,"Therian mammals of the terlingua local fauna (Judithian), Aguja formation, big bend of the Río Grande, Texas","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,3.097306714,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
253259,,Alphadontidae,Eoalphadon clemensi,,,1.62,0.95,"Late Cretaceous mammals from Cedar Canyon, southwestern Utah. Late Cretaceous Vertebrates from the Western Interior","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,3.596567254,4,100.5,93.9,83.5,70.6,Cenomanian,Late Cretaceous,,Metatheria,omnivore,Metatheria
43928,,Alphadontidae,Alphadon wilsoni,,,1.77,0.96,"A study of Mammalia and geology across the Cretaceous-Tertiary boundary in Garfield County, Montana","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,3.751045781,3,70.6,66,70.6,66,Maastrichtian,,,Alphadon,omnivore,Alphadon
43927,,Alphadontidae,Alphadon sahnii,,,2.32,1.21,"Fossil Mammals from the ""Mesaverde"" Formation (Late Cretaceous, Judithian) of the Bighom and Wind River Basins, Wyoming, with Definitions of Late Cretaceous North American Land-Mammal ""Ages""","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,4.534212571,6,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
52542,,Alphadontidae,Turgidodon russelli,3.963,Body size downgrading of mammals over the late Quaternary,2.60,1.45,"Mammals from the St. Mary River Formation (Upper Cretaceous), Montana","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,4.994237002,25,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
52540,,Alphadontidae,Turgidodon praesagus,,,2.60,1.60,"The vertebrate fauna of the Judith River Formation, Montana","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,5.147803516,11,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
43849,,Alphadontidae,Albertatherium primus,,,,,,,,,,4,86.3,83.6,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
183692,,Alphadontidae,Albertatherium secundus,,,,,,,,,,1,85.8,83.5,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
253260,,Alphadontidae,Eoalphadon lillegraveni,,,,,,,,,,2,100.5,93.9,100.5,93.9,Cenomanian,,,Metatheria,omnivore,Metatheria
253261,,Alphadontidae,Eoalphadon woodburnei,,,,,,,,,,2,99.6,93.5,99.6,93.5,Cenomanian,Turonian,,Metatheria,omnivore,Metatheria
52536,,Alphadontidae,Turgidodon lillegraveni,,,,,,,,,,3,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
52541,,Alphadontidae,Turgidodon rhaister,,,,,,,,,,18,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
52629,,Alphadontidae,Varalphadon creber,,,,,,,,,,3,85.8,83.5,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
52630,,Alphadontidae,Varalphadon crebreforme,,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
363918,,Alphadontidae,Varalphadon janetae,,,,,,,,,,2,100.5,93.9,89.3,85.8,Cenomanian,Santonian,,Metatheria,omnivore,Metatheria
52539,,Alphadontidae,Turgidodon petiminis,5.023,Body size downgrading of mammals over the late Quaternary,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Turgidodon,omnivore,Turgidodon
52537,,Alphadontidae,Turgidodon madseni,3.494,Body size downgrading of mammals over the late Quaternary,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
43921,,Alphadontidae,Alphadon marshi,3.463,Body size downgrading of mammals over the late Quaternary,,,,,,,,30,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
43917,,Alphadontidae,Alphadon halleyi,3.006,Body size downgrading of mammals over the late Quaternary,,,,,,,,27,86.3,83.6,70.6,66,Santonian,Maastrichtian,,Alphadon,omnivore,Alphadon
52631,,Alphadontidae,Varalphadon wahweapensis,2.515,Body size downgrading of mammals over the late Quaternary,,,,,,,,4,86.3,83.6,83.5,70.6,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
43913,,Alphadontidae,Alphadon attaragos,2.472,Body size downgrading of mammals over the late Quaternary,,,,,,,,6,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
43916,,Alphadontidae,Alphadon eatoni,2.41,Body size downgrading of mammals over the late Quaternary,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Alphadon,omnivore,Alphadon
367965,,Ameghinichnidae,Catocapes angolanus,,,,,,,,,,1,122.46,112.03,122.46,112.03,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
437404,,Ameghinichnidae,Koreasaltipes jinjuensis,,,,,,,,,,1,113,100.5,113,100.5,Albian,,,Mammalia,insectivore,Mammaliaformes
216769,,Amphidontidae,Acinacodus tagaricus,,,1.70,0.80,A new genus of triconodont mammals from the Early Cretaceous of Western Siberia,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),"New species of Batodonoides (Lipotyphla, Geolabididae) from the Early Eocene of Wyoming: smallest known mammal?",2.226585091,1,125,113,125,113,Aptian,,,Mammalia,insectivore,Mammaliaformes
264056,,Amphilestidae,Kemchugia magna,,,,,,,,,,1,129.4,113,129.4,113,Barremian,Aptian,ground dwelling,Amphilestidae,carnivore,Amphilestidae
433383,,Aquiladelphidae,Scalaridelphys martini,,,3.06,1.91,"Geologically Oldest Pediomyoidea (Mammalia, Marsupialiformes) from the Late Cretaceous of North America, with Implications for Taxonomy and Diet of Earliest Late Cretaceous Mammals","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,5.678208327,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Metatheria,omnivore,Metatheria
428892,,Aquiladelphidae,Aquiladelphis analetris,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
44201,,Aquiladelphidae,Aquiladelphis incus,,,,,,,,,,4,86.3,83.6,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
82050,,Aquiladelphidae,Aquiladelphis laurae,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
44202,,Aquiladelphidae,Aquiladelphis minor,,,,,,,,,,4,86.3,83.6,70.6,66,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
433382,,Aquiladelphidae,Scalaridelphys aquilana,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Metatheria,omnivore,Metatheria
186980,,Arctocyonidae,Protungulatum coombsi,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Protungulatum,omnivore,Protungulatum
51117,,Arctocyonidae,Protungulatum gorgun,,,,,,,,,,1,70.6,66,66,63.3,Maastrichtian,Danian,,Protungulatum,omnivore,Protungulatum
44411,,Arctocyonidae,Baioconodon nordicus,7.428,Body size downgrading of mammals over the late Quaternary,,,,,,,,1,72.1,66,66,63.3,Maastrichtian,Danian,ground dwelling,Arctocyonidae,omnivore,Arctocyonidae
137733,,Bobolestidae,Bobolestes zenge,,,0.80,1.10,"Mammals from the mid-Cretaceous Khodzhakul Formation, Kyzylkum Desert, Uzbekistan","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,1.57644843,1,99.6,93.5,99.6,93.5,Cenomanian,Turonian,scansorial,Eutheria,insectivore,Theria
207620,,Bondesiidae,Bondesius ferox,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
206740,,Dryolestidae,Amblotherium nanum,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
206741,,Dryolestidae,Amblotherium pusillum,,,,,,,,,,2,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
57717,,Dryolestidae,Amblotherium soricinum,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
67610,,Dryolestidae,Groebertherium novasi,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
67609,,Dryolestidae,Groebertherium stipanicici,,,,,,,,,,2,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
249190,,Dryolestidae,Lakotalestes luoi,,,,,,,,,,2,145,136.4,140.2,125.45,Berriasian,Barremian,,Mammalia,insectivore,Mammaliaformes
212361,,Dryolestidae,Laolestes hodsoni,,,,,,,,,,2,140.2,136.4,140.2,136.4,Berriasian,Valanginian,,Mammalia,insectivore,Mammaliaformes
206742,,Dryolestidae,Peraspalax talpoides,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
206743,,Dryolestidae,Phascolestes mustelula,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
46653,,Glasbiidae,Glasbius twitchelli,3.683,Body size downgrading of mammals over the late Quaternary,0.98,0.71,"Metatherian mammals from the Naashoibito Member, Kirtland Formation, San Juan Basin, New Mexico and their biochronologic and paleobiogeographic significance","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,2.358198895,20,72.1,66,70.6,66,Maastrichtian,,,Glasbius,"herbivore, frugivore",Glasbius
46652,,Glasbiidae,Glasbius intricatus,,,1.00,0.70,"Metatherian mammals from the Naashoibito Member, Kirtland Formation, San Juan Basin, New Mexico and their biochronologic and paleobiogeographic significance","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,2.367587087,4,70.6,66,70.6,66,Maastrichtian,,,Glasbius,"herbivore, frugivore",Glasbius
428898,,Glasbiidae,Glasbius piceanus,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Glasbius,"herbivore, frugivore",Glasbius
46753,,Gypsonictopidae,Gypsonictops clemensi,,,,,,,,,,2,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Gypsonictops,"omnivore, frugivore",Gypsonictops
46754,,Gypsonictopidae,Gypsonictops hypoconus,,,,,,,,,,33,70.6,66,70.6,66,Maastrichtian,,,Gypsonictops,"omnivore, frugivore",Gypsonictops
46755,,Gypsonictopidae,Gypsonictops illuminatus,4.565,Body size downgrading of mammals over the late Quaternary,,,,,,,,27,70.6,66,70.6,66,Maastrichtian,,,Gypsonictops,"omnivore, frugivore",Gypsonictops
46756,,Gypsonictopidae,Gypsonictops lewisi,3.949,Body size downgrading of mammals over the late Quaternary,,,,,,,,11,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Gypsonictops,"omnivore, frugivore",Gypsonictops
370749,,Hahnodontidae,Cifelliodon wahkarmoosuch,6.99,Late-surviving stem mammal links the lowermost Cretaceous of North America and Gondwana,,,,,,,,1,130,122.46,130,122.46,Hauterivian,Aptian,,Mammalia,insectivore,Mammaliaformes
174461,,Hahnodontidae,Denisodon moroccensis,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
