taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,m1_length_mm,m1_width_mm,m1_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
63407,,Hahnodontidae,Hahnodon taqueti,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
47068,,Holoclemensiidae,Holoclemensia texana,,,1.94,1.30,Reappraisal of the tribosphenidan mammals from the Trinity Group (Aptian—Albian) of Texas and Oklahoma,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,3.500070438,5,122.46,109,113,100.5,Aptian,Albian,,Holoclemensia,insectivore,Holoclemensia
47439,,Kermackiidae,Kermackia texana,,,,,,,,,,3,122.46,109,113,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
155050,,Mozomuridae,Mozomus shikamai,,,1.25,0.80,"The first record of ""eupantotherian"" (Theria, Mammalia) from the late Early Cretaceous of western Liaoning, China","Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,1.81,1,122.46,109,122.46,109,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
49766,,Pappotheriidae,Pappotherium pattersoni,,,,,,,,,,4,122.46,109,113,100.5,Aptian,Albian,,Pappotherium,insectivore,Pappotherium
212367,,Paurodontidae,Dorsetodon haysomi,,,0.65,0.42,New dryolestoid mammals from the basal Cretaceous Purbeck Limestone Group of southern England,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Analysis of mammalian communities from the Late Eocene and Oligocene of Southern France,-0.561963925,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
381653,,Pediomyidae,Unnuakomys hutchisoni,,,1.26,0.74,Northernmost record of the Metatheria: a new Late Cretaceous pediomyid from the North Slope of Alaska,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,2.81481034,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
103962,,Pediomyidae,Leptalestes krejcii,,,1.49,0.96,"Latest Cretaceous mammals of upper part of Edmonton Formation of Alberta, Canada, and review of marsupial-placental dichotomy in mammalian evolution","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,3.482408436,23,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
168382,,Pediomyidae,Leptalestes toevsi,,,1.70,0.98,"Mammals from the St. Mary River Formation (Upper Cretaceous), Montana","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,3.720263848,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
50063,,Pediomyidae,Pediomys elegans,3.212,Body size downgrading of mammals over the late Quaternary,1.92,1.28,"Preliminary report on the mammals form Lane's Little Jaw Site Quarry: a latest Cretaceous (earliest Puercan?) local fauna, Hell Creek Formation, southeastern Montana","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,4.326729012,34,83.5,70.6,70.6,66,Campanian,Maastrichtian,ground dwelling,Pediomys,insectivore,Pediomys
103964,,Pediomyidae,Leptalestes cooki,,,2.03,1.18,"Preliminary report on the mammals form Lane's Little Jaw Site Quarry: a latest Cretaceous (earliest Puercan?) local fauna, Hell Creek Formation, southeastern Montana","Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),A First Look at Estimating Body Size in Dentally Conservative Marsupials,4.286738361,20,83.5,70.6,66,63.3,Campanian,Danian,,Metatheria,omnivore,Metatheria
47365,,Pediomyidae,Iqualadelphis lactea,,,,,,,,,,4,86.3,83.6,83.5,70.6,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
103963,,Pediomyidae,Leptalestes prokrejcii,,,,,,,,,,5,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
426040,,Pediomyidae,Protolambda clemensi,,,,,,,,,,6,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
