Group/common name,Class,Subclass,Superorder,Order,Family,Genus,Species,"Lmax (Maximum length, cm)",Troph,MainFood,FeedingType,Fresh,Brack,Saltwater,DepthRangeShallow,DepthRangeDeep
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Ariosoma,major,53.00,4.02,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Congriscus,megastomus,40.00,3.76,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,myriaster,100.00,3.98,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,320,830
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Gnathophis,mystax,60.00,3.57,,hunting macrofauna (predator),FALSE,FALSE,TRUE,80,800
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,oceanicus,230.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,1,477
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,oligoporus,161.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,2,305
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,orbignianus,100.00,3.40,,,FALSE,FALSE,TRUE,10,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Gorgasia,preclara,40.00,3.30,,,FALSE,FALSE,TRUE,15,38
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Congridae,Conger,wilsoni,150.00,3.50,zoobenthos,hunting macrofauna (predator),FALSE,TRUE,TRUE,,30
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Derichthyidae,Nessorhamphus,ingolfianus,59.80,3.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,1800
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Derichthyidae,Derichthys,serpentinus,40.00,3.10,,selective plankton feeding,FALSE,FALSE,TRUE,500,2000
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Heterenchelyidae,Panturichthys,mauritanicus,84.00,3.24,,hunting macrofauna (predator),FALSE,FALSE,TRUE,30,1000
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Moringuidae,Moringua,edwardsi,50.00,3.50,,hunting macrofauna (predator),FALSE,TRUE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenesocidae,Muraenesox,bagio,200.00,3.99,nekton,hunting macrofauna (predator),FALSE,TRUE,TRUE,,100
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenesocidae,Muraenesox,cinereus,220.00,4.07,nekton,hunting macrofauna (predator),TRUE,TRUE,TRUE,,740
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenesocidae,Cynoponticus,coniceps,202.00,4.03,,hunting macrofauna (predator),FALSE,FALSE,TRUE,10,100
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenesocidae,Cynoponticus,ferox,200.00,3.60,zoobenthos,hunting macrofauna (predator),FALSE,FALSE,TRUE,10,100
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenesocidae,Cynoponticus,savanna,150.00,3.50,,hunting macrofauna (predator),FALSE,TRUE,TRUE,,100
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenesocidae,Congresox,talabon,80.00,4.00,,hunting macrofauna (predator),FALSE,TRUE,TRUE,,100
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenesocidae,Congresox,talabonoides,250.00,4.30,,hunting macrofauna (predator),FALSE,TRUE,TRUE,,100
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Enchelycore,anatina,120.00,4.02,,hunting macrofauna (predator),FALSE,FALSE,TRUE,,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Enchelycore,bayeri,70.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,0,38
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,berndti,100.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,30,300
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,breedeni,100.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,4,40
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,buroensis,35.00,3.84,zoobenthos,hunting macrofauna (predator),FALSE,TRUE,TRUE,0,25
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Enchelynassa,canina,250.00,4.50,,hunting macrofauna (predator),FALSE,FALSE,TRUE,2,10
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,castaneus,150.00,4.03,,hunting macrofauna (predator),FALSE,FALSE,TRUE,3,36
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Echidna,catenata,165.00,3.50,zoobenthos,hunting macrofauna (predator),FALSE,FALSE,TRUE,0,12
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,eurostus,60.00,4.13,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,0,
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,favagineus,300.00,4.24,,hunting macrofauna (predator),FALSE,TRUE,TRUE,1,45
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,fimbriatus,80.00,4.04,nekton,hunting macrofauna (predator),FALSE,TRUE,TRUE,,45
"Bonytongues, Herrings, and Eels",Actinopterygii,Neopterygii,Elopomorpha,Anguilliformes,Muraenidae,Gymnothorax,flavimarginatus,240.00,4.16,nekton,hunting macrofauna (predator),FALSE,FALSE,TRUE,1,150
